time	GasIn	Tout
0	0	292.07
1	0	292.07
2	0	292.07
3	59.35	292.07
4	0	292.07
5	59.35	292.07
6	59.35	292.08
7	0	292.08
8	0	292.08
9	0	292.08
10	0	292.08
11	0	292.08
12	0	292.07
13	0	292.08
15	0	292.07
16	0	292.09
17	0	292.07
18	0	292.08
19	0	292.08
20	0	292.08
21	0	292.08
22	0	292.09
23	0	292.08
24	0	292.07
25	0	292.08
26	59.35	292.07
27	0	292.08
28	0	292.09
29	0	292.07
30	0	292.08
31	0	292.08
32	0	292.07
33	0	292.07
34	0	292.08
35	0	292.08
36	0	292.08
37	0	292.09
38	0	292.08
40	59.35	292.08
41	0	292.07
42	0	292.09
43	0	292.08
44	0	292.07
45	0	292.07
46	367.8	292.09
47	121.04	292.7
48	0	292.83
49	0	292.85
50	244.42	292.82
51	0	292.6
52	873.67	292.43
53	10077.99	292.35
54	14593.78	292.42
55	6216.12	292.44
56	2724.4	292.46
57	1256.16	292.45
58	1256.16	292.46
59	873.67	293.41
60	0	294.56
61	0	296.22
62	0	297.29
64	0	298.01
65	0	298.41
66	0	298.15
67	0	297.41
68	59.35	296.54
69	0	295.77
70	0	295.16
71	0	294.68
72	0	294.29
73	59.35	294
74	0	293.75
75	0	293.56
76	811.98	293.4
77	0	293.26
78	0	293.15
79	0	293.04
80	59.35	292.96
81	0	292.9
82	0	292.85
83	0	292.8
84	0	292.77
85	0	292.74
86	0	292.75
87	59.35	292.75
89	0	292.74
90	367.8	292.76
91	0	292.77
92	0	292.78
93	0	292.79
94	367.8	292.82
95	0	292.84
96	0	292.85
97	0	292.88
98	0	292.9
99	59.35	292.93
100	0	292.94
101	0	292.97
102	0	292.99
103	0	293.01
104	0	293.04
105	0	293.06
106	121.04	293.09
107	0	293.1
108	0	293.12
109	0	293.14
110	0	293.15
111	0	293.15
112	0	293.16
114	0	293.19
115	0	293.18
116	0	293.2
117	0	293.21
118	0	293.23
119	59.35	293.23
120	121.04	293.25
121	0	293.26
122	0	293.27
123	0	293.29
124	0	293.29
125	0	293.31
126	0	293.31
127	0	293.31
128	0	293.32
129	0	293.33
130	0	293.34
131	0	293.34
132	0	293.34
133	0	293.36
134	0	293.35
135	0	293.36
136	0	293.36
138	0	293.38
139	0	293.36
140	0	293.37
141	0	293.38
142	0	293.38
143	0	293.39
144	0	293.39
145	0	293.38
146	0	293.39
147	0	293.39
148	0	293.39
149	0	293.41
150	0	293.41
151	0	293.42
152	0	293.42
153	0	293.43
154	0	293.42
155	0	293.44
156	0	293.44
157	0	293.45
158	0	293.45
159	59.35	293.46
160	0	293.45
162	0	293.46
163	0	293.48
164	0	293.48
165	0	293.47
166	0	293.48
167	0	293.49
168	182.73	293.49
169	0	293.5
170	0	293.49
171	0	293.51
172	0	293.51
173	0	293.52
174	0	293.52
175	0	293.51
176	0	293.52
177	0	293.54
178	0	293.53
179	0	293.52
180	0	293.53
181	0	293.54
182	0	293.54
183	0	293.53
184	0	293.55
185	0	293.55
187	0	293.56
188	0	293.57
189	0	293.57
190	121.04	293.56
191	0	293.56
192	59.35	293.56
193	0	293.56
194	0	293.57
195	244.42	293.58
196	565.21	293.58
197	0	293.58
198	0	293.58
199	0	293.59
200	0	293.59
201	0	293.6
202	59.35	293.59
203	0	293.61
204	0	293.59
205	0	293.6
206	0	293.6
207	0	293.61
