Time,endUseLPSTwoBranchPID.WatFlowDes,endUseLPSTwoBranchPID.boundary.ports[1].m_flow,endUseLPSTwoBranchPID.TOut,endUseLPSTwoBranchPID.TOutDes
0,0.063,0.063,283.15,323.15
2.64,0.063,0.063,323.195,323.15
5.28,0.063,0.063,323.195,323.15
7.92,0.063,0.063,323.195,323.15
10.56,0.063,0.063,323.195,323.15
13.2,0.063,0.063,323.195,323.15
15.84,0.063,0.063,323.195,323.15
18.48,0.063,0.063,323.195,323.15
21.12,0.063,0.063,323.195,323.15
23.76,0.063,0.063,323.195,323.15
26.4,0.063,0.063,323.195,323.15
29.04,0.063,0.063,323.195,323.15
30,0.063,0.063,323.195,323.15
30,0.063,0.063,323.195,323.15
31.68,0.0631764,0.0631764,323.195,323.15
34.32,0.0634536,0.0634536,323.195,323.15
36.96,0.0637308,0.0637308,323.195,323.15
39.6,0.064008,0.064008,323.195,323.15
42.24,0.0642852,0.0642852,323.195,323.15
44.88,0.0645624,0.0645624,323.195,323.15
47.52,0.0648396,0.0648396,323.195,323.15
50.16,0.0651168,0.0651168,323.195,323.15
52.8,0.065394,0.065394,323.195,323.15
55.44,0.0656712,0.0656712,323.195,323.15
58.08,0.0659484,0.0659484,323.195,323.15
60.72,0.0662256,0.0662256,323.195,323.15
63.36,0.0665028,0.0665028,323.195,323.15
66,0.06678,0.06678,323.195,323.15
68.64,0.0670572,0.0670572,323.195,323.15
71.28,0.0673344,0.0673344,323.195,323.15
73.92,0.0676116,0.0676116,323.195,323.15
76.56,0.0678888,0.0678888,323.195,323.15
79.2,0.068166,0.068166,323.195,323.15
81.84,0.0684432,0.0684432,323.195,323.15
84.48,0.0687204,0.0687204,323.195,323.15
87.12,0.0689976,0.0689976,323.195,323.15
89.76,0.0692748,0.0692748,323.195,323.15
92.4,0.069552,0.069552,323.195,323.15
95.04,0.0698292,0.0698292,323.195,323.15
97.68,0.0701064,0.0701064,323.195,323.15
100.32,0.0703836,0.0703836,323.195,323.15
102.96,0.0706608,0.0706608,323.195,323.15
105.6,0.070938,0.070938,323.195,323.15
108.24,0.0712152,0.0712152,323.195,323.15
110.88,0.0714924,0.0714924,323.195,323.15
113.52,0.0717696,0.0717696,323.195,323.15
116.16,0.0720468,0.0720468,323.195,323.15
118.8,0.072324,0.072324,323.195,323.15
121.44,0.0726012,0.0726012,323.195,323.15
124.08,0.0728784,0.0728784,323.195,323.15
126.72,0.0731556,0.0731556,323.195,323.15
129.36,0.0734328,0.0734328,323.195,323.15
132,0.07371,0.07371,323.195,323.15
134.64,0.0739872,0.0739872,323.195,323.15
137.28,0.0742644,0.0742644,323.195,323.15
139.92,0.0745416,0.0745416,323.195,323.15
142.56,0.0748188,0.0748188,323.195,323.15
145.2,0.075096,0.075096,323.195,323.15
147.84,0.0753732,0.0753732,323.195,323.15
150.48,0.0756504,0.0756504,323.195,323.15
153.12,0.0759276,0.0759276,323.195,323.15
155.76,0.0762048,0.0762048,323.195,323.15
158.4,0.076482,0.076482,323.195,323.15
161.04,0.0767592,0.0767592,323.195,323.15
163.68,0.0770364,0.0770364,323.195,323.15
166.32,0.0773136,0.0773136,323.195,323.15
168.96,0.0775908,0.0775908,323.195,323.15
171.6,0.077868,0.077868,323.195,323.15
174.24,0.0781452,0.0781452,323.195,323.15
176.88,0.0784224,0.0784224,323.195,323.15
179.52,0.0786996,0.0786996,323.195,323.15
182.16,0.0789768,0.0789768,323.195,323.15
184.8,0.079254,0.079254,323.195,323.15
187.44,0.0795312,0.0795312,323.195,323.15
190.08,0.0798084,0.0798084,323.195,323.15
192.72,0.0800856,0.0800856,323.195,323.15
195.36,0.0803628,0.0803628,323.195,323.15
198,0.08064,0.08064,323.195,323.15
200.64,0.0809172,0.0809172,323.195,323.15
203.28,0.0811944,0.0811944,323.195,323.15
205.92,0.0814716,0.0814716,323.195,323.15
208.56,0.0817488,0.0817488,323.195,323.15
211.2,0.082026,0.082026,323.195,323.15
213.84,0.0823032,0.0823032,323.195,323.15
216.48,0.0825804,0.0825804,323.195,323.15
219.12,0.0828576,0.0828576,323.195,323.15
221.76,0.0831348,0.0831348,323.195,323.15
224.4,0.083412,0.083412,323.195,323.15
227.04,0.0836892,0.0836892,323.195,323.15
229.68,0.0839664,0.0839664,323.195,323.15
232.32,0.0842436,0.0842436,323.195,323.15
234.96,0.0845208,0.0845208,323.195,323.15
237.6,0.084798,0.084798,323.195,323.15
240.24,0.0850752,0.0850752,323.195,323.15
242.88,0.0853524,0.0853524,323.195,323.15
245.52,0.0856296,0.0856296,323.195,323.15
248.16,0.0859068,0.0859068,323.195,323.15
250.8,0.086184,0.086184,323.195,323.15
253.44,0.0864612,0.0864612,323.195,323.15
256.08,0.0867384,0.0867384,323.195,323.15
258.72,0.0870156,0.0870156,323.195,323.15
261.36,0.0872928,0.0872928,323.195,323.15
264,0.08757,0.08757,323.195,323.15
266.64,0.0878472,0.0878472,323.195,323.15
269.28,0.0881244,0.0881244,323.195,323.15
271.92,0.0884016,0.0884016,323.195,323.15
274.56,0.0886788,0.0886788,323.195,323.15
277.2,0.088956,0.088956,323.195,323.15
279.84,0.0892332,0.0892332,323.195,323.15
282.48,0.0895104,0.0895104,323.195,323.15
285.12,0.0897876,0.0897876,323.195,323.15
287.76,0.0900648,0.0900648,323.195,323.15
290.4,0.090342,0.090342,323.195,323.15
