Time,endUse.watFlo,watFlo.y
0,0,0
1.38,0,0
2.76,0,0
4.14,0,0
5.52,0,0
6.9,0,0
8.28,0,0
9.66,0,0
11.04,0,0
12.42,0,0
13.8,0,0
15.18,0,0
16.56,0,0
17.94,0,0
19.32,0,0
20.7,0,0
22.08,0,0
23.46,0,0
24.84,0,0
26.22,0,0
27.6,0,0
28.98,0,0
30,0,0
30,0,0
30.36,7.2e-05,7.2e-05
31.74,0.000348,0.000348
33.12,0.000624,0.000624
34.5,0.0009,0.0009
35.88,0.001176,0.001176
37.26,0.001452,0.001452
38.64,0.001728,0.001728
40.02,0.002004,0.002004
41.4,0.00228,0.00228
42.78,0.002556,0.002556
44.16,0.002832,0.002832
45.54,0.003108,0.003108
46.92,0.003384,0.003384
48.3,0.00366,0.00366
49.68,0.003936,0.003936
51.06,0.004212,0.004212
52.44,0.004488,0.004488
53.82,0.004764,0.004764
55.2,0.00504,0.00504
56.58,0.005316,0.005316
57.96,0.005592,0.005592
59.34,0.005868,0.005868
60.72,0.006144,0.006144
62.1,0.00642,0.00642
63.48,0.006696,0.006696
64.86,0.006972,0.006972
66.24,0.007248,0.007248
67.62,0.007524,0.007524
69,0.0078,0.0078
70.38,0.008076,0.008076
71.76,0.008352,0.008352
73.14,0.008628,0.008628
74.52,0.008904,0.008904
75.9,0.00918,0.00918
77.28,0.009456,0.009456
78.66,0.009732,0.009732
80.04,0.010008,0.010008
81.42,0.010284,0.010284
82.8,0.01056,0.01056
84.18,0.010836,0.010836
85.56,0.011112,0.011112
86.94,0.011388,0.011388
88.32,0.011664,0.011664
89.7,0.01194,0.01194
91.08,0.012216,0.012216
92.46,0.012492,0.012492
93.84,0.012768,0.012768
95.22,0.013044,0.013044
96.6,0.01332,0.01332
97.98,0.013596,0.013596
99.36,0.013872,0.013872
100.74,0.014148,0.014148
102.12,0.014424,0.014424
103.5,0.0147,0.0147
104.88,0.014976,0.014976
106.26,0.015252,0.015252
107.64,0.015528,0.015528
109.02,0.015804,0.015804
110.4,0.01608,0.01608
111.78,0.016356,0.016356
113.16,0.016632,0.016632
114.54,0.016908,0.016908
115.92,0.017184,0.017184
117.3,0.01746,0.01746
118.68,0.017736,0.017736
120.06,0.018012,0.018012
121.44,0.018288,0.018288
122.82,0.018564,0.018564
124.2,0.01884,0.01884
125.58,0.019116,0.019116
126.96,0.019392,0.019392
128.34,0.019668,0.019668
129.72,0.019944,0.019944
131.1,0.02022,0.02022
132.48,0.020496,0.020496
133.86,0.020772,0.020772
135.24,0.021048,0.021048
136.62,0.021324,0.021324
138,0.0216,0.0216
139.38,0.021876,0.021876
140.76,0.022152,0.022152
142.14,0.022428,0.022428
143.52,0.022704,0.022704
144.9,0.02298,0.02298
146.28,0.023256,0.023256
147.66,0.023532,0.023532
149.04,0.023808,0.023808
150.42,0.024084,0.024084
151.8,0.02436,0.02436
153.18,0.024636,0.024636
154.56,0.024912,0.024912
155.94,0.025188,0.025188
157.32,0.025464,0.025464
158.7,0.02574,0.02574
160.08,0.026016,0.026016
161.46,0.026292,0.026292
162.84,0.026568,0.026568
164.22,0.026844,0.026844
165.6,0.02712,0.02712
166.98,0.027396,0.027396
168.36,0.027672,0.027672
169.74,0.027948,0.027948
171.12,0.028224,0.028224
172.5,0.0285,0.0285
173.88,0.028776,0.028776
175.26,0.029052,0.029052
176.64,0.029328,0.029328
178.02,0.029604,0.029604
179.4,0.02988,0.02988
180.78,0.030156,0.030156
182.16,0.030432,0.030432
183.54,0.030708,0.030708
184.92,0.030984,0.030984
186.3,0.03126,0.03126
187.68,0.031536,0.031536
189.06,0.031812,0.031812
190.44,0.032088,0.032088
191.82,0.032364,0.032364
193.2,0.03264,0.03264
194.58,0.032916,0.032916
195.96,0.033192,0.033192
197.34,0.033468,0.033468
198.72,0.033744,0.033744
200.1,0.03402,0.03402
201.48,0.034296,0.034296
202.86,0.034572,0.034572
204.24,0.034848,0.034848
205.62,0.035124,0.035124
207,0.0354,0.0354
208.38,0.035676,0.035676
209.76,0.035952,0.035952
211.14,0.036228,0.036228
212.52,0.036504,0.036504
213.9,0.03678,0.03678
215.28,0.037056,0.037056
216.66,0.037332,0.037332
218.04,0.037608,0.037608
219.42,0.037884,0.037884
220.8,0.03816,0.03816
222.18,0.038436,0.038436
223.56,0.038712,0.038712
224.94,0.038988,0.038988
226.32,0.039264,0.039264
227.7,0.03954,0.03954
229.08,0.039816,0.039816
230.46,0.040092,0.040092
231.84,0.040368,0.040368
233.22,0.040644,0.040644
234.6,0.04092,0.04092
235.98,0.041196,0.041196
237.36,0.041472,0.041472
238.74,0.041748,0.041748
240.12,0.042024,0.042024
241.5,0.0423,0.0423
242.88,0.042576,0.042576
244.26,0.042852,0.042852
245.64,0.043128,0.043128
247.02,0.043404,0.043404
248.4,0.04368,0.04368
249.78,0.043956,0.043956
251.16,0.044232,0.044232
252.54,0.044508,0.044508
253.92,0.044784,0.044784
255.3,0.04506,0.04506
256.68,0.045336,0.045336
258.06,0.045612,0.045612
259.44,0.045888,0.045888
260.82,0.046164,0.046164
262.2,0.04644,0.04644
263.58,0.046716,0.046716
264.96,0.046992,0.046992
266.34,0.047268,0.047268
267.72,0.047544,0.047544
269.1,0.04782,0.04782
270.48,0.048096,0.048096
271.86,0.048372,0.048372
273.24,0.048648,0.048648
274.62,0.048924,0.048924
276,0.0492,0.0492
277.38,0.049476,0.049476
278.76,0.049752,0.049752
280.14,0.050028,0.050028
281.52,0.050304,0.050304
282.9,0.05058,0.05058
284.28,0.050856,0.050856
285.66,0.051132,0.051132
287.04,0.051408,0.051408
288.42,0.051684,0.051684
289.8,0.05196,0.05196
291.18,0.052236,0.052236
292.56,0.052512,0.052512
293.94,0.052788,0.052788
295.32,0.053064,0.053064
296.7,0.05334,0.05334
298.08,0.053616,0.053616
299.46,0.053892,0.053892
300.84,0.054168,0.054168
302.22,0.054444,0.054444
303.6,0.05472,0.05472
304.98,0.054996,0.054996
306.36,0.055272,0.055272
307.74,0.055548,0.055548
309.12,0.055824,0.055824
310.5,0.0561,0.0561
311.88,0.056376,0.056376
313.26,0.056652,0.056652
314.64,0.056928,0.056928
316.02,0.057204,0.057204
317.4,0.05748,0.05748
318.78,0.057756,0.057756
320.16,0.058032,0.058032
321.54,0.058308,0.058308
322.92,0.058584,0.058584
324.3,0.05886,0.05886
325.68,0.059136,0.059136
327.06,0.059412,0.059412
328.44,0.059688,0.059688
329.82,0.059964,0.059964
331.2,0.06024,0.06024
332.58,0.060516,0.060516
333.96,0.060792,0.060792
335.34,0.061068,0.061068
336.72,0.061344,0.061344
338.1,0.06162,0.06162
339.48,0.061896,0.061896
340.86,0.062172,0.062172
342.24,0.062448,0.062448
343.62,0.062724,0.062724
345,0.063,0.063
346.38,0.063276,0.063276
347.76,0.063552,0.063552
349.14,0.063828,0.063828
350.52,0.064104,0.064104
351.9,0.06438,0.06438
353.28,0.064656,0.064656
354.66,0.064932,0.064932
356.04,0.065208,0.065208
357.42,0.065484,0.065484
358.8,0.06576,0.06576
360.18,0.066036,0.066036
361.56,0.066312,0.066312
362.94,0.066588,0.066588
364.32,0.066864,0.066864
365.7,0.06714,0.06714
367.08,0.067416,0.067416
368.46,0.067692,0.067692
369.84,0.067968,0.067968
371.22,0.068244,0.068244
372.6,0.06852,0.06852
373.98,0.068796,0.068796
375.36,0.069072,0.069072
376.74,0.069348,0.069348
378.12,0.069624,0.069624
379.5,0.0699,0.0699
380.88,0.070176,0.070176
382.26,0.070452,0.070452
383.64,0.070728,0.070728
385.02,0.071004,0.071004
386.4,0.07128,0.07128
387.78,0.071556,0.071556
389.16,0.071832,0.071832
390.54,0.072108,0.072108
391.92,0.072384,0.072384
393.3,0.07266,0.07266
394.68,0.072936,0.072936
396.06,0.073212,0.073212
397.44,0.073488,0.073488
398.82,0.073764,0.073764
400.2,0.07404,0.07404
401.58,0.074316,0.074316
402.96,0.074592,0.074592
404.34,0.074868,0.074868
405.72,0.075144,0.075144
407.1,0.07542,0.07542
408.48,0.075696,0.075696
409.86,0.075972,0.075972
411.24,0.076248,0.076248
412.62,0.076524,0.076524
414,0.0768,0.0768
415.38,0.077076,0.077076
416.76,0.077352,0.077352
418.14,0.077628,0.077628
419.52,0.077904,0.077904
420.9,0.07818,0.07818
422.28,0.078456,0.078456
423.66,0.078732,0.078732
425.04,0.079008,0.079008
426.42,0.079284,0.079284
427.8,0.07956,0.07956
429.18,0.079836,0.079836
430.56,0.080112,0.080112
431.94,0.080388,0.080388
433.32,0.080664,0.080664
434.7,0.08094,0.08094
436.08,0.081216,0.081216
437.46,0.081492,0.081492
438.84,0.081768,0.081768
440.22,0.082044,0.082044
441.6,0.08232,0.08232
442.98,0.082596,0.082596
444.36,0.082872,0.082872
445.74,0.083148,0.083148
447.12,0.083424,0.083424
448.5,0.0837,0.0837
449.88,0.083976,0.083976
451.26,0.084252,0.084252
452.64,0.084528,0.084528
454.02,0.084804,0.084804
455.4,0.08508,0.08508
456.78,0.085356,0.085356
458.16,0.085632,0.085632
459.54,0.085908,0.085908
460.92,0.086184,0.086184
462.3,0.08646,0.08646
463.68,0.086736,0.086736
465.06,0.087012,0.087012
466.44,0.087288,0.087288
467.82,0.087564,0.087564
469.2,0.08784,0.08784
470.58,0.088116,0.088116
471.96,0.088392,0.088392
473.34,0.088668,0.088668
474.72,0.088944,0.088944
476.1,0.08922,0.08922
477.48,0.089496,0.089496
478.86,0.089772,0.089772
480.24,0.090048,0.090048
481.62,0.090324,0.090324
483,0.0906,0.0906
484.38,0.090876,0.090876
485.76,0.091152,0.091152
487.14,0.091428,0.091428
488.52,0.091704,0.091704
489.9,0.09198,0.09198
491.28,0.092256,0.092256
492.66,0.092532,0.092532
494.04,0.092808,0.092808
495.42,0.093084,0.093084
496.8,0.09336,0.09336
498.18,0.093636,0.093636
499.56,0.093912,0.093912
500.94,0.094188,0.094188
502.32,0.094464,0.094464
503.7,0.09474,0.09474
505.08,0.095016,0.095016
506.46,0.095292,0.095292
507.84,0.095568,0.095568
509.22,0.095844,0.095844
510.6,0.09612,0.09612
511.98,0.096396,0.096396
513.36,0.096672,0.096672
514.74,0.096948,0.096948
516.12,0.097224,0.097224
517.5,0.0975,0.0975
518.88,0.097776,0.097776
520.26,0.098052,0.098052
521.64,0.098328,0.098328
523.02,0.098604,0.098604
524.4,0.09888,0.09888
525.78,0.099156,0.099156
527.16,0.099432,0.099432
528.54,0.099708,0.099708
529.92,0.099984,0.099984
531.3,0.10026,0.10026
532.68,0.100536,0.100536
534.06,0.100812,0.100812
535.44,0.101088,0.101088
536.82,0.101364,0.101364
538.2,0.10164,0.10164
539.58,0.101916,0.101916
540.96,0.102192,0.102192
542.34,0.102468,0.102468
543.72,0.102744,0.102744
545.1,0.10302,0.10302
546.48,0.103296,0.103296
547.86,0.103572,0.103572
549.24,0.103848,0.103848
550.62,0.104124,0.104124
552,0.1044,0.1044
553.38,0.104676,0.104676
554.76,0.104952,0.104952
556.14,0.105228,0.105228
557.52,0.105504,0.105504
558.9,0.10578,0.10578
560.28,0.106056,0.106056
561.66,0.106332,0.106332
563.04,0.106608,0.106608
564.42,0.106884,0.106884
565.8,0.10716,0.10716
567.18,0.107436,0.107436
568.56,0.107712,0.107712
569.94,0.107988,0.107988
571.32,0.108264,0.108264
572.7,0.10854,0.10854
574.08,0.108816,0.108816
575.46,0.109092,0.109092
576.84,0.109368,0.109368
578.22,0.109644,0.109644
579.6,0.10992,0.10992
580.98,0.110196,0.110196
582.36,0.110472,0.110472
583.74,0.110748,0.110748
585.12,0.111024,0.111024
586.5,0.1113,0.1113
587.88,0.111576,0.111576
589.26,0.111852,0.111852
590.64,0.112128,0.112128
592.02,0.112404,0.112404
593.4,0.11268,0.11268
594.78,0.112956,0.112956
596.16,0.113232,0.113232
597.54,0.113508,0.113508
598.92,0.113784,0.113784
600.3,0.11406,0.11406
601.68,0.114336,0.114336
603.06,0.114612,0.114612
604.44,0.114888,0.114888
605.82,0.115164,0.115164
607.2,0.11544,0.11544
608.58,0.115716,0.115716
609.96,0.115992,0.115992
611.34,0.116268,0.116268
612.72,0.116544,0.116544
614.1,0.11682,0.11682
