Time,pip.vol[46].T,ValidationData.y[9]
0,281.2,8.02778
9.034,281.225,8.01073
18.068,281.251,7.90998
27.102,281.276,7.92166
36.136,281.301,7.96969
45.17,281.326,8.02139
54.204,281.351,8.05124
63.238,281.376,8.04444
72.272,281.401,8.04444
81.306,281.426,7.9949
90.34,281.448,7.94056
99.374,281.467,7.86183
108.408,281.481,7.79898
117.442,281.57,7.79444
126.476,282.569,7.98993
135.51,286.414,9.28828
144.544,294.65,12.058
153.578,305.66,18.2391
162.612,315.548,27.5349
171.646,322.342,37.94
180.68,326.301,46.2689
189.714,328.354,51.3729
198.748,329.184,53.8053
207.782,329.384,54.9202
216.816,329.467,55.3889
225.85,329.515,55.6667
234.884,329.554,55.8824
243.918,329.579,55.9954
252.952,329.594,56.0556
261.986,329.602,56.1667
271.02,329.605,56.2222
280.054,329.604,56.2252
289.088,329.604,56.2778
298.122,329.612,56.3333
307.156,329.61,56.3333
316.19,329.601,56.3783
325.224,329.587,56.3889
334.258,329.572,56.3889
343.292,329.557,56.4444
352.326,329.544,56.4444
361.36,329.536,56.4444
370.394,329.537,56.5
379.428,329.547,56.5
388.462,329.557,56.5
397.496,329.565,56.5556
406.53,329.572,56.5556
415.564,329.578,56.5556
424.598,329.584,56.5556
433.632,329.589,56.5556
442.666,329.595,56.6111
451.7,329.601,56.6111
460.734,329.608,56.6111
469.768,329.617,56.6111
478.802,329.628,56.6111
487.836,329.642,56.6111
496.87,329.658,56.6111
505.904,329.669,56.6111
514.938,329.678,56.6111
523.972,329.685,56.6111
533.006,329.691,56.6111
542.04,329.696,56.6111
551.074,329.7,56.6111
560.108,329.703,56.6111
569.142,329.706,56.6111
578.176,329.707,56.6111
587.21,329.708,56.6111
596.244,329.709,56.6111
605.278,329.709,56.6111
614.312,329.708,56.6111
623.346,329.707,56.6111
632.38,329.706,56.6111
641.414,329.705,56.6111
650.448,329.703,56.6111
659.482,329.702,56.6111
668.516,329.7,56.6111
677.55,329.699,56.6111
686.584,329.697,56.6111
695.618,329.696,56.6111
704.652,329.695,56.6111
713.686,329.694,56.6111
722.72,329.694,56.6511
731.754,329.695,56.653
740.788,329.698,56.6111
749.822,329.704,56.6111
758.856,329.71,56.6111
767.89,329.715,56.6111
776.924,329.721,56.6153
785.958,329.727,56.6667
794.992,329.733,56.6111
804.026,329.739,56.6111
813.06,329.745,56.6111
822.094,329.75,56.6667
831.128,329.756,56.6667
840.162,329.761,56.6667
849.196,329.767,56.6558
858.23,329.772,56.6667
867.264,329.777,56.6111
876.298,329.782,56.6667
885.332,329.787,56.6667
894.366,329.792,56.6667
903.4,329.797,56.6667
912.434,329.801,56.6667
921.468,329.806,56.7222
