Time	Water Out [C]	Water In  [C]	Ambient [C]	Water Top (T16) [C]	T15 [C]	T14 [C]	T13 [C]	T12 [C]	T11 [C]	T10 [C]	T9 [C]	T8 [C]	T7 [C]	T6 [C]	T5 [C]	T4 [C]	T3 [C]	T2 [C]	Water Bottom (T1) [C]	Flue Top (F1) [C]	F2 [C]	F3 [C]	Flue Bottom (F4) [C]	Gas Flow Freqency	Water Flow Frequency	42i-NO (ppb)	42i-NO2 (ppb)	42i-NOx (ppb)	Horiba-NO (ppm)	Horiba-CO (ppm)	Horiba-CO2 (%)	Horiba-O2 (%)
9:01:13 AM	38.944	20.304	19.311	40.534	38.211	33.329	30.680	29.648	29.144	28.640	29.791	27.846	27.599	27.110	26.432	25.505	25.288	-55198.983	25.205	30.734	1373.115	1372.973	1372.973	0.000	117.390	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:14 AM	38.956	20.296	19.306	40.508	38.193	33.312	30.694	29.630	29.124	28.648	29.784	27.823	27.589	27.102	26.415	25.459	25.383	-55196.605	25.182	30.712	1373.115	1372.973	1372.973	0.000	108.459	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:15 AM	38.993	20.301	19.302	40.507	38.185	33.300	30.718	29.643	29.130	28.650	29.782	27.827	27.599	27.098	26.427	25.483	25.418	-55197.394	25.146	30.709	1373.117	1372.974	1372.974	0.000	61.234	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:16 AM	39.015	20.292	19.305	40.496	38.183	33.287	30.734	29.660	29.123	28.656	29.806	27.818	27.604	27.103	26.440	25.534	25.499	-55197.630	25.122	30.691	1373.115	1372.973	1372.973	0.000	29.547	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:17 AM	39.039	20.302	19.300	40.502	38.177	33.274	30.738	29.676	29.125	28.660	29.809	27.824	27.607	27.090	26.460	25.420	25.426	-55197.852	25.122	30.688	1373.117	1372.975	1372.975	0.000	15.014	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:18 AM	39.027	20.296	19.304	40.505	38.173	33.258	30.745	29.699	29.122	28.665	29.820	27.823	27.606	27.092	26.455	25.495	25.389	-55198.434	25.127	30.691	1373.116	1372.974	1372.974	0.000	9.859	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:19 AM	39.035	20.299	19.303	40.506	38.150	33.244	30.742	29.712	29.117	28.675	29.818	27.813	27.596	27.092	26.438	25.568	25.464	-55197.656	25.123	30.691	1373.117	1372.975	1372.975	0.000	7.318	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:20 AM	39.026	20.283	19.286	40.514	38.149	33.234	30.729	29.718	29.118	28.672	29.825	27.825	27.596	27.089	26.446	25.609	25.468	-55197.858	25.117	30.678	1373.112	1372.970	1372.970	0.000	5.822	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:21 AM	39.030	20.309	19.303	40.509	38.138	33.225	30.735	29.748	29.108	28.673	29.828	27.814	27.589	27.097	26.453	25.623	25.501	-55198.022	25.129	30.679	1373.118	1372.976	1372.976	0.000	4.876	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:22 AM	39.029	20.306	19.293	40.508	38.109	33.238	30.733	29.743	29.094	28.669	29.806	27.813	27.592	27.101	26.455	25.677	25.393	-55196.241	25.147	30.669	1373.116	1372.974	1372.974	0.000	4.295	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:24 AM	39.018	20.305	19.298	40.516	38.119	33.251	30.744	29.730	29.094	28.664	29.795	27.800	27.601	27.096	26.453	25.719	25.348	-55196.416	25.145	30.665	1373.118	1372.976	1372.976	0.000	3.781	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:25 AM	39.012	20.305	19.295	40.524	38.115	33.274	30.751	29.723	29.092	28.664	29.794	27.809	27.605	27.093	26.454	25.696	25.393	-55196.785	25.156	30.649	1373.115	1372.974	1372.974	0.000	3.422	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:26 AM	39.007	20.300	19.295	40.535	38.110	33.317	30.761	29.708	29.100	28.670	29.798	27.819	27.612	27.107	26.452	25.677	25.332	-55197.837	25.158	30.650	1373.117	1372.975	1372.975	0.000	3.139	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:27 AM	39.000	20.297	19.274	40.537	38.109	33.340	30.761	29.686	29.096	28.657	29.788	27.811	27.626	27.102	26.437	25.634	25.328	-55196.659	25.132	30.636	1373.111	1372.969	1372.969	0.000	2.834	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:28 AM	39.001	20.291	19.277	40.542	38.111	33.354	30.746	29.663	29.083	28.655	29.787	27.804	27.636	27.109	26.433	25.606	25.322	-55195.889	25.117	30.629	1373.110	1372.968	1372.968	0.000	2.635	51.332	10.821	62.153	1.670	0.400	0.390	20.390
9:01:29 AM	38.999	20.296	19.301	40.547	38.105	33.361	30.741	29.647	29.092	28.645	29.774	27.793	27.643	27.095	26.435	25.567	25.263	-55194.454	25.103	30.640	1373.118	1372.976	1372.976	3.085	2.480	51.332	10.821	62.153	1.670	0.400	0.390	20.390
