Time	Water Out [C]	Water In  [C]	Ambient [C]	Water Top (T16) [C]	T15 [C]	T14 [C]	T13 [C]	T12 [C]	T11 [C]	T10 [C]	T9 [C]	T8 [C]	T7 [C]	T6 [C]	T5 [C]	T4 [C]	T3 [C]	T2 [C]	Water Bottom (T1) [C]	Flue Top (F1) [C]	F2 [C]	F3 [C]	Flue Bottom (F4) [C]	Gas Flow Freqency	Water Flow Frequency	42i-NO (ppb)	42i-NO2 (ppb)	42i-NOx (ppb)	Horiba-NO (ppm)	Horiba-CO (ppm)	Horiba-CO2 (%)	Horiba-O2 (%)
11:28:45 AM	42.150	29.937	19.862	73.750	72.734	70.613	69.757	69.353	69.220	68.957	69.547	68.350	68.471	68.192	67.870	67.584	67.677	-55199.741	67.428	1373.246	1373.246	1373.120	1373.120	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:46 AM	42.152	29.803	19.861	73.719	72.704	70.741	69.775	69.307	69.272	68.943	69.507	68.289	68.367	68.193	67.920	67.488	67.657	-55201.388	67.435	1373.250	1373.250	1373.124	1373.124	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:47 AM	42.129	29.609	19.859	73.677	72.686	70.847	69.801	69.298	69.275	68.937	69.459	68.390	68.333	68.158	67.892	67.523	67.674	-55199.886	67.413	1373.251	1373.251	1373.125	1373.125	0.000	5.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:48 AM	42.117	29.702	19.837	73.658	72.681	70.889	69.835	69.330	69.353	68.991	69.451	68.458	68.101	68.173	67.935	67.607	67.747	-55201.060	67.425	1373.247	1373.247	1373.121	1373.121	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:49 AM	42.098	29.929	19.819	73.635	72.665	70.951	69.845	69.353	69.367	69.004	69.450	68.445	68.058	68.137	67.949	67.621	67.718	-55200.253	67.430	1373.247	1373.247	1373.121	1373.121	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:50 AM	42.086	29.982	19.812	73.610	72.659	70.963	69.855	69.372	69.376	68.992	69.472	68.435	68.042	68.088	67.987	67.724	67.652	-55199.314	67.405	1373.253	1373.253	1373.128	1373.128	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:51 AM	42.085	30.254	19.815	73.611	72.658	70.955	69.892	69.414	69.395	69.062	69.448	68.445	68.100	68.106	68.015	67.743	67.719	-55201.375	67.408	1373.255	1373.255	1373.129	1373.129	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:52 AM	42.088	30.490	19.793	73.636	72.644	70.994	69.888	69.431	69.424	69.105	69.452	68.371	68.113	68.093	68.035	67.663	67.720	-55201.257	67.430	1373.253	1373.253	1373.127	1373.127	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:53 AM	42.083	30.321	19.793	73.668	72.620	70.970	69.920	69.415	69.450	69.119	69.454	68.341	68.144	68.100	68.032	67.714	67.644	-55200.787	67.444	1373.254	1373.254	1373.128	1373.128	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:54 AM	42.075	29.918	19.781	73.704	72.600	70.979	69.939	69.420	69.466	69.104	69.462	68.359	68.234	68.153	68.018	67.736	67.594	-55201.078	67.447	1373.259	1373.259	1373.133	1373.133	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:55 AM	42.048	29.642	19.771	73.736	72.617	71.031	69.948	69.414	69.479	69.079	69.464	68.460	68.291	68.217	68.030	67.847	67.573	-55201.760	67.454	1373.253	1373.253	1373.127	1373.127	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:56 AM	42.027	29.487	19.760	73.750	72.651	71.045	69.947	69.432	69.467	69.048	69.472	68.490	68.373	68.249	68.028	67.977	67.584	-55200.180	67.450	1373.255	1373.255	1373.130	1373.130	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
11:28:57 AM	42.025	29.448	19.748	73.777	72.692	71.033	69.962	69.448	69.470	69.085	69.502	68.528	68.551	68.265	68.034	67.934	67.615	-55202.484	67.447	1373.256	1373.256	1373.130	1373.130	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
