Time	Water Out [C]	Water In  [C]	Ambient [C]	Water Top (T16) [C]	T15 [C]	T14 [C]	T13 [C]	T12 [C]	T11 [C]	T10 [C]	T9 [C]	T8 [C]	T7 [C]	T6 [C]	T5 [C]	T4 [C]	T3 [C]	T2 [C]	Water Bottom (T1) [C]	Flue Top (F1) [C]	F2 [C]	F3 [C]	Flue Bottom (F4) [C]	Gas Flow Freqency	Water Flow Frequency	42i-NO (ppb)	42i-NO2 (ppb)	42i-NOx (ppb)	Horiba-NO (ppm)	Horiba-CO (ppm)	Horiba-CO2 (%)	Horiba-O2 (%)
8:13:03 AM	20.340	26.925	19.157	41.994	41.992	41.996	41.962	41.885	41.887	41.589	41.980	40.319	39.990	38.848	37.861	35.228	33.635	-55163.996	29.537	1372.924	1372.924	1372.777	1372.777	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
8:13:04 AM	20.357	26.906	19.166	41.999	41.986	42.000	41.964	41.884	41.891	41.589	41.967	40.324	39.989	38.848	37.860	35.231	33.647	-55163.567	29.532	1372.925	1372.925	1372.778	1372.778	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
8:13:05 AM	20.346	26.891	19.160	42.008	41.987	42.005	41.961	41.880	41.893	41.597	41.976	40.323	39.986	38.850	37.872	35.229	33.651	-55164.746	29.550	1372.922	1372.922	1372.775	1372.775	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
8:13:06 AM	20.343	26.887	19.165	42.008	41.990	42.003	41.959	41.883	41.903	41.594	41.974	40.322	39.984	38.844	37.868	35.232	33.648	-55164.667	29.541	1372.923	1372.923	1372.776	1372.776	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
8:13:07 AM	20.352	26.909	19.178	42.005	41.993	42.006	41.958	41.886	41.901	41.589	41.982	40.317	39.985	38.846	37.865	35.236	33.646	-55164.758	29.546	1372.928	1372.928	1372.781	1372.781	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
8:13:08 AM	20.346	26.905	19.172	42.007	41.988	42.004	41.960	41.887	41.889	41.585	41.975	40.325	39.987	38.846	37.869	35.225	33.642	-55164.015	29.536	1372.925	1372.925	1372.778	1372.778	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
8:13:09 AM	20.339	26.912	19.167	42.011	42.002	42.005	41.963	41.896	41.901	41.583	41.970	40.320	39.992	38.851	37.866	35.231	33.644	-55165.158	29.541	1372.926	1372.926	1372.779	1372.779	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
8:13:10 AM	20.346	26.918	19.157	42.001	41.981	42.012	41.963	41.882	41.888	41.587	41.969	40.328	39.983	38.842	37.860	35.219	33.645	-55162.939	29.531	1372.922	1372.922	1372.775	1372.775	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
8:13:11 AM	20.331	26.957	19.171	42.004	41.980	42.009	41.964	41.894	41.900	41.589	41.975	40.317	39.990	38.845	37.857	35.240	33.644	-55164.226	29.536	1372.926	1372.926	1372.779	1372.779	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
8:13:13 AM	20.350	27.006	19.167	42.001	41.995	42.010	41.968	41.885	41.901	41.597	41.981	40.330	39.989	38.858	37.873	35.232	33.653	-55165.432	29.547	1372.927	1372.927	1372.780	1372.780	0.000	0.000	51.332	10.821	62.153	1.670	0.400	0.390	20.390
