Time	Water Out [C]	Water In  [C]	Ambient [C]	Water Top (T16) [C]	T15 [C]	T14 [C]	T13 [C]	T12 [C]	T11 [C]	T10 [C]	T9 [C]	T8 [C]	T7 [C]	T6 [C]	T5 [C]	T4 [C]	T3 [C]	T2 [C]	Water Bottom (T1) [C]	Flue Top (F1) [C]	F2 [C]	F3 [C]	Flue Bottom (F4) [C]	Gas Flow Freqency	Water Flow Frequency	42i-NO (ppb)	42i-NO2 (ppb)	42i-NOx (ppb)	Horiba-NO (ppm)	Horiba-CO (ppm)	Horiba-CO2 (%)	Horiba-O2 (%)	Gas Flow (V)
3:54:52 PM	25.913	26.585	25.214	23.909	-56063.802	-56063.802	-56083.386	-56083.386	-56083.386	-56063.802	-56063.802	-56083.386	-56083.386	-56083.386	-56068.903	-56068.903	-56068.903	-56068.903	-56068.903	-56068.903	1377.057	34.012	33.605	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.210
3:54:53 PM	25.916	26.539	25.213	23.910	-56063.168	-56063.168	-56082.736	-56082.736	-56082.736	-56063.168	-56063.168	-56082.736	-56082.736	-56082.736	-56068.272	-56068.272	-56068.272	-56068.272	-56068.272	-56068.272	1377.060	34.009	33.601	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.210
3:54:54 PM	25.931	26.497	25.217	23.916	-56063.494	-56063.494	-56083.117	-56083.117	-56083.117	-56063.494	-56063.494	-56083.117	-56083.117	-56083.117	-56068.634	-56068.634	-56068.634	-56068.634	-56068.634	-56068.634	1377.059	33.998	33.591	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.205
3:54:55 PM	25.919	26.504	25.202	23.908	-56062.121	-56062.121	-56081.720	-56081.720	-56081.720	-56062.121	-56062.121	-56081.720	-56081.720	-56081.720	-56067.221	-56067.221	-56067.221	-56067.221	-56067.221	-56067.221	1377.055	33.994	33.573	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
3:54:56 PM	25.925	26.650	25.212	23.911	-56062.565	-56062.565	-56082.138	-56082.138	-56082.138	-56062.565	-56062.565	-56082.138	-56082.138	-56082.138	-56067.671	-56067.671	-56067.671	-56067.671	-56067.671	-56067.671	1377.056	33.976	33.571	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
3:54:57 PM	25.931	26.891	25.221	23.927	-56063.532	-56063.532	-56083.171	-56083.171	-56083.171	-56063.532	-56063.532	-56083.171	-56083.171	-56083.171	-56068.657	-56068.657	-56068.657	-56068.657	-56068.657	-56068.657	1377.062	33.977	33.567	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:54:58 PM	25.921	26.584	25.211	23.920	-56064.289	-56064.289	-56083.897	-56083.897	-56083.897	-56064.289	-56064.289	-56083.897	-56083.897	-56083.897	-56069.455	-56069.455	-56069.455	-56069.455	-56069.455	-56069.455	1377.054	33.957	33.556	0.000	4.052	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
3:54:59 PM	25.938	26.064	25.205	23.909	-56064.551	-56064.551	-56084.146	-56084.146	-56084.146	-56064.551	-56064.551	-56084.146	-56084.146	-56084.146	-56069.673	-56069.673	-56069.673	-56069.673	-56069.673	-56069.673	1377.057	33.956	33.540	0.000	18.021	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.179
3:55:00 PM	25.957	25.926	25.203	23.903	-56061.029	-56061.029	-56080.633	-56080.633	-56080.633	-56061.029	-56061.029	-56080.633	-56080.633	-56080.633	-56066.135	-56066.135	-56066.135	-56066.135	-56066.135	-56066.135	1377.058	33.947	33.541	0.000	62.398	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.199
3:55:01 PM	25.971	25.916	25.183	23.894	-56062.929	-56062.929	-56082.517	-56082.517	-56082.517	-56062.929	-56062.929	-56082.517	-56082.517	-56082.517	-56068.053	-56068.053	-56068.053	-56068.053	-56068.053	-56068.053	1377.053	33.922	33.534	0.000	82.433	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.199
