Time	Water Out [C]	Water In  [C]	Ambient [C]	Water Top (T16) [C]	T15 [C]	T14 [C]	T13 [C]	T12 [C]	T11 [C]	T10 [C]	T9 [C]	T8 [C]	T7 [C]	T6 [C]	T5 [C]	T4 [C]	T3 [C]	T2 [C]	Water Bottom (T1) [C]	Flue Top (F1) [C]	F2 [C]	F3 [C]	Flue Bottom (F4) [C]	Gas Flow Freqency	Water Flow Frequency	42i-NO (ppb)	42i-NO2 (ppb)	42i-NOx (ppb)	Horiba-NO (ppm)	Horiba-CO (ppm)	Horiba-CO2 (%)	Horiba-O2 (%)	Gas Flow (V)
3:17:50 PM	26.942	27.103	27.052	24.121	-56058.912	-56058.912	-56076.542	-56076.542	-56076.542	-56058.912	-56058.912	-56076.542	-56076.542	-56076.542	-56065.398	-56065.398	-56065.398	-56065.398	-56065.398	-56065.398	1377.033	40.372	39.665	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:17:51 PM	26.940	27.099	27.031	24.117	-56061.355	-56061.355	-56078.974	-56078.974	-56078.974	-56061.355	-56061.355	-56078.974	-56078.974	-56078.974	-56067.828	-56067.828	-56067.828	-56067.828	-56067.828	-56067.828	1377.029	40.354	39.641	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:17:52 PM	26.941	27.096	27.047	24.131	-56060.089	-56060.089	-56077.743	-56077.743	-56077.743	-56060.089	-56060.089	-56077.743	-56077.743	-56077.743	-56066.581	-56066.581	-56066.581	-56066.581	-56066.581	-56066.581	1377.033	40.326	39.621	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:17:53 PM	26.943	27.098	27.043	24.136	-56060.251	-56060.251	-56077.910	-56077.910	-56077.910	-56060.251	-56060.251	-56077.910	-56077.910	-56077.910	-56066.759	-56066.759	-56066.759	-56066.759	-56066.759	-56066.759	1377.033	40.304	39.614	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:17:54 PM	26.948	27.107	27.041	24.149	-56059.975	-56059.975	-56077.633	-56077.633	-56077.633	-56059.975	-56059.975	-56077.633	-56077.633	-56077.633	-56066.450	-56066.450	-56066.450	-56066.450	-56066.450	-56066.450	1377.032	40.284	39.591	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:17:55 PM	26.945	27.093	27.049	24.152	-56060.445	-56060.445	-56078.075	-56078.075	-56078.075	-56060.445	-56060.445	-56078.075	-56078.075	-56078.075	-56066.947	-56066.947	-56066.947	-56066.947	-56066.947	-56066.947	1377.031	40.260	39.575	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:17:56 PM	26.956	27.103	27.051	24.150	-56061.428	-56061.428	-56079.122	-56079.122	-56079.122	-56061.428	-56061.428	-56079.122	-56079.122	-56079.122	-56067.901	-56067.901	-56067.901	-56067.901	-56067.901	-56067.901	1377.035	40.244	39.554	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.184
3:17:57 PM	26.957	27.104	27.061	24.160	-56061.419	-56061.419	-56079.060	-56079.060	-56079.060	-56061.419	-56061.419	-56079.060	-56079.060	-56079.060	-56067.919	-56067.919	-56067.919	-56067.919	-56067.919	-56067.919	1377.040	40.224	39.537	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
3:17:58 PM	26.945	27.098	27.045	24.149	-56061.953	-56061.953	-56079.646	-56079.646	-56079.646	-56061.953	-56061.953	-56079.646	-56079.646	-56079.646	-56068.463	-56068.463	-56068.463	-56068.463	-56068.463	-56068.463	1377.033	40.193	39.514	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
3:17:59 PM	26.941	27.098	27.049	24.160	-56060.871	-56060.871	-56078.535	-56078.535	-56078.535	-56060.871	-56060.871	-56078.535	-56078.535	-56078.535	-56067.365	-56067.365	-56067.365	-56067.365	-56067.365	-56067.365	1377.033	40.175	39.498	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
3:18:00 PM	26.952	27.103	27.049	24.150	-56061.990	-56061.990	-56079.689	-56079.689	-56079.689	-56061.990	-56061.990	-56079.689	-56079.689	-56079.689	-56068.521	-56068.521	-56068.521	-56068.521	-56068.521	-56068.521	1377.037	40.158	39.483	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:18:01 PM	26.949	27.097	27.056	24.161	-56061.195	-56061.195	-56078.907	-56078.907	-56078.907	-56061.195	-56061.195	-56078.907	-56078.907	-56078.907	-56067.684	-56067.684	-56067.684	-56067.684	-56067.684	-56067.684	1377.034	40.132	39.461	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:18:02 PM	26.948	27.106	27.053	24.142	-56063.018	-56063.018	-56080.672	-56080.672	-56080.672	-56063.018	-56063.018	-56080.672	-56080.672	-56080.672	-56069.496	-56069.496	-56069.496	-56069.496	-56069.496	-56069.496	1377.034	40.114	39.446	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.199
3:18:03 PM	26.945	27.113	27.055	24.143	-56061.565	-56061.565	-56079.251	-56079.251	-56079.251	-56061.565	-56061.565	-56079.251	-56079.251	-56079.251	-56068.065	-56068.065	-56068.065	-56068.065	-56068.065	-56068.065	1377.036	40.092	39.421	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.199
3:18:04 PM	26.942	27.104	27.055	24.146	-56060.876	-56060.876	-56078.556	-56078.556	-56078.556	-56060.876	-56060.876	-56078.556	-56078.556	-56078.556	-56067.338	-56067.338	-56067.338	-56067.338	-56067.338	-56067.338	1377.035	40.070	39.411	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
3:18:05 PM	26.943	27.109	27.045	24.146	-56059.011	-56059.011	-56076.664	-56076.664	-56076.664	-56059.011	-56059.011	-56076.664	-56076.664	-56076.664	-56065.476	-56065.476	-56065.476	-56065.476	-56065.476	-56065.476	1377.031	40.046	39.391	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:18:06 PM	26.963	27.114	27.057	24.152	-56061.948	-56061.948	-56079.644	-56079.644	-56079.644	-56061.948	-56061.948	-56079.644	-56079.644	-56079.644	-56068.394	-56068.394	-56068.394	-56068.394	-56068.394	-56068.394	1377.039	40.027	39.371	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:18:07 PM	26.949	27.102	27.052	24.142	-56061.121	-56061.121	-56078.780	-56078.780	-56078.780	-56061.121	-56061.121	-56078.780	-56078.780	-56078.780	-56067.610	-56067.610	-56067.610	-56067.610	-56067.610	-56067.610	1377.032	40.005	39.347	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.225
3:18:09 PM	26.950	27.115	27.056	24.155	-56062.023	-56062.023	-56079.729	-56079.729	-56079.729	-56062.023	-56062.023	-56079.729	-56079.729	-56079.729	-56068.501	-56068.501	-56068.501	-56068.501	-56068.501	-56068.501	1377.038	39.990	39.343	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:18:10 PM	26.943	27.109	27.056	24.148	-56060.776	-56060.776	-56078.464	-56078.464	-56078.464	-56060.776	-56060.776	-56078.464	-56078.464	-56078.464	-56067.238	-56067.238	-56067.238	-56067.238	-56067.238	-56067.238	1377.035	39.965	39.321	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
3:18:11 PM	26.942	27.096	27.044	24.135	-56060.220	-56060.220	-56077.936	-56077.936	-56077.936	-56060.220	-56060.220	-56077.936	-56077.936	-56077.936	-56066.669	-56066.669	-56066.669	-56066.669	-56066.669	-56066.669	1377.036	39.942	39.300	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.205
3:18:12 PM	26.939	27.106	27.038	24.118	-56063.560	-56063.560	-56081.227	-56081.227	-56081.227	-56063.560	-56063.560	-56081.227	-56081.227	-56081.227	-56070.059	-56070.059	-56070.059	-56070.059	-56070.059	-56070.059	1377.032	39.917	39.271	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.174
3:18:13 PM	26.945	27.102	27.054	24.134	-56060.673	-56060.673	-56078.350	-56078.350	-56078.350	-56060.673	-56060.673	-56078.350	-56078.350	-56078.350	-56067.085	-56067.085	-56067.085	-56067.085	-56067.085	-56067.085	1377.037	39.904	39.267	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
3:18:14 PM	26.938	27.095	27.044	24.127	-56059.850	-56059.850	-56077.596	-56077.596	-56077.596	-56059.850	-56059.850	-56077.596	-56077.596	-56077.596	-56066.368	-56066.368	-56066.368	-56066.368	-56066.368	-56066.368	1377.032	39.873	39.241	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
3:18:15 PM	26.939	27.096	27.057	24.144	-56061.079	-56061.079	-56078.751	-56078.751	-56078.751	-56061.079	-56061.079	-56078.751	-56078.751	-56078.751	-56067.510	-56067.510	-56067.510	-56067.510	-56067.510	-56067.510	1377.034	39.852	39.227	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.184
3:18:16 PM	26.942	27.109	27.052	24.164	-56062.065	-56062.065	-56079.748	-56079.748	-56079.748	-56062.065	-56062.065	-56079.748	-56079.748	-56079.748	-56068.506	-56068.506	-56068.506	-56068.506	-56068.506	-56068.506	1377.034	39.836	39.220	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
