Time	Water Out [C]	Water In  [C]	Ambient [C]	Water Top (T16) [C]	T15 [C]	T14 [C]	T13 [C]	T12 [C]	T11 [C]	T10 [C]	T9 [C]	T8 [C]	T7 [C]	T6 [C]	T5 [C]	T4 [C]	T3 [C]	T2 [C]	Water Bottom (T1) [C]	Flue Top (F1) [C]	F2 [C]	F3 [C]	Flue Bottom (F4) [C]	Gas Flow Freqency	Water Flow Frequency	42i-NO (ppb)	42i-NO2 (ppb)	42i-NOx (ppb)	Horiba-NO (ppm)	Horiba-CO (ppm)	Horiba-CO2 (%)	Horiba-O2 (%)	Gas Flow (V)
4:57:21 PM	23.847	23.800	24.193	-56097.041	-56097.041	-56114.958	-56114.958	-56114.958	-56097.041	-56097.041	-56114.958	-56114.958	-56114.958	-56098.280	-56098.280	-56098.280	-56098.280	-56098.280	-56098.280	1377.170	1377.170	24.146	24.108	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
4:57:22 PM	23.842	23.782	24.189	-56096.081	-56096.081	-56113.969	-56113.969	-56113.969	-56096.081	-56096.081	-56113.969	-56113.969	-56113.969	-56097.307	-56097.307	-56097.307	-56097.307	-56097.307	-56097.307	1377.163	1377.163	24.142	24.099	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.199
4:57:23 PM	23.855	23.786	24.206	-56097.111	-56097.111	-56114.962	-56114.962	-56114.962	-56097.111	-56097.111	-56114.962	-56114.962	-56114.962	-56098.348	-56098.348	-56098.348	-56098.348	-56098.348	-56098.348	1377.165	1377.165	24.146	24.103	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.199
4:57:24 PM	23.845	23.782	24.211	-56095.282	-56095.282	-56113.169	-56113.169	-56113.169	-56095.282	-56095.282	-56113.169	-56113.169	-56113.169	-56096.571	-56096.571	-56096.571	-56096.571	-56096.571	-56096.571	1377.167	1377.167	24.148	24.104	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
4:57:25 PM	23.853	23.777	24.213	-56095.827	-56095.827	-56113.712	-56113.712	-56113.712	-56095.827	-56095.827	-56113.712	-56113.712	-56113.712	-56097.079	-56097.079	-56097.079	-56097.079	-56097.079	-56097.079	1377.170	1377.170	24.147	24.108	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.220
4:57:26 PM	23.852	23.790	24.226	-56096.304	-56096.304	-56114.213	-56114.213	-56114.213	-56096.304	-56096.304	-56114.213	-56114.213	-56114.213	-56097.596	-56097.596	-56097.596	-56097.596	-56097.596	-56097.596	1377.175	1377.175	24.144	24.114	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.205
4:57:27 PM	23.847	23.779	24.210	-56098.087	-56098.087	-56115.986	-56115.986	-56115.986	-56098.087	-56098.087	-56115.986	-56115.986	-56115.986	-56099.355	-56099.355	-56099.355	-56099.355	-56099.355	-56099.355	1377.167	1377.167	24.141	24.104	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.184
4:57:28 PM	23.856	23.783	24.208	-56096.366	-56096.366	-56114.251	-56114.251	-56114.251	-56096.366	-56096.366	-56114.251	-56114.251	-56114.251	-56097.650	-56097.650	-56097.650	-56097.650	-56097.650	-56097.650	1377.170	1377.170	24.145	24.102	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
4:57:29 PM	23.845	23.783	24.198	-56096.271	-56096.271	-56114.119	-56114.119	-56114.119	-56096.271	-56096.271	-56114.119	-56114.119	-56114.119	-56097.513	-56097.513	-56097.513	-56097.513	-56097.513	-56097.513	1377.166	1377.166	24.133	24.105	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.199
4:57:30 PM	23.857	23.786	24.202	-56096.309	-56096.309	-56114.205	-56114.205	-56114.205	-56096.309	-56096.309	-56114.205	-56114.205	-56114.205	-56097.622	-56097.622	-56097.622	-56097.622	-56097.622	-56097.622	1377.170	1377.170	24.146	24.107	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.205
