Time	Water Out [C]	Water In  [C]	Ambient [C]	Water Top (T16) [C]	T15 [C]	T14 [C]	T13 [C]	T12 [C]	T11 [C]	T10 [C]	T9 [C]	T8 [C]	T7 [C]	T6 [C]	T5 [C]	T4 [C]	T3 [C]	T2 [C]	Water Bottom (T1) [C]	Flue Top (F1) [C]	F2 [C]	F3 [C]	Flue Bottom (F4) [C]	Gas Flow Freqency	Water Flow Frequency	42i-NO (ppb)	42i-NO2 (ppb)	42i-NOx (ppb)	Horiba-NO (ppm)	Horiba-CO (ppm)	Horiba-CO2 (%)	Horiba-O2 (%)	Gas Flow (V)
5:20:08 PM	28.149	27.548	24.054	-56113.782	-56113.782	-56130.642	-56130.642	-56130.642	-56113.782	-56113.782	-56130.642	-56130.642	-56130.642	-56114.821	-56114.821	-56114.821	-56114.821	-56114.821	-56114.821	1377.187	1377.187	38.155	37.559	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.179
5:20:09 PM	28.176	27.548	24.065	-56114.763	-56114.763	-56131.635	-56131.635	-56131.635	-56114.763	-56114.763	-56131.635	-56131.635	-56131.635	-56115.805	-56115.805	-56115.805	-56115.805	-56115.805	-56115.805	1377.190	1377.190	38.136	37.552	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
5:20:10 PM	28.206	27.543	24.061	-56113.764	-56113.764	-56130.602	-56130.602	-56130.602	-56113.764	-56113.764	-56130.602	-56130.602	-56130.602	-56114.796	-56114.796	-56114.796	-56114.796	-56114.796	-56114.796	1377.185	1377.185	38.108	37.531	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.184
5:20:11 PM	28.240	27.551	24.069	-56113.630	-56113.630	-56130.412	-56130.412	-56130.412	-56113.630	-56113.630	-56130.412	-56130.412	-56130.412	-56114.606	-56114.606	-56114.606	-56114.606	-56114.606	-56114.606	1377.191	1377.191	38.098	37.518	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
5:20:12 PM	28.252	27.526	24.062	-56114.274	-56114.274	-56131.135	-56131.135	-56131.135	-56114.274	-56114.274	-56131.135	-56131.135	-56131.135	-56115.315	-56115.315	-56115.315	-56115.315	-56115.315	-56115.315	1377.181	1377.181	38.064	37.496	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.194
5:20:13 PM	28.285	27.535	24.087	-56113.403	-56113.403	-56130.245	-56130.245	-56130.245	-56113.403	-56113.403	-56130.245	-56130.245	-56130.245	-56114.466	-56114.466	-56114.466	-56114.466	-56114.466	-56114.466	1377.183	1377.183	38.049	37.480	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.189
5:20:14 PM	28.304	27.538	24.087	-56115.765	-56115.765	-56132.572	-56132.572	-56132.572	-56115.765	-56115.765	-56132.572	-56132.572	-56132.572	-56116.739	-56116.739	-56116.739	-56116.739	-56116.739	-56116.739	1377.181	1377.181	38.036	37.461	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.179
5:20:15 PM	28.328	27.544	24.097	-56114.961	-56114.961	-56131.775	-56131.775	-56131.775	-56114.961	-56114.961	-56131.775	-56131.775	-56131.775	-56116.013	-56116.013	-56116.013	-56116.013	-56116.013	-56116.013	1377.191	1377.191	38.025	37.453	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.205
5:20:16 PM	28.356	27.541	24.090	-56113.415	-56113.415	-56130.231	-56130.231	-56130.231	-56113.415	-56113.415	-56130.231	-56130.231	-56130.231	-56114.483	-56114.483	-56114.483	-56114.483	-56114.483	-56114.483	1377.191	1377.191	38.009	37.448	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.163
5:20:17 PM	28.368	27.551	24.087	-56114.903	-56114.903	-56131.724	-56131.724	-56131.724	-56114.903	-56114.903	-56131.724	-56131.724	-56131.724	-56115.937	-56115.937	-56115.937	-56115.937	-56115.937	-56115.937	1377.192	1377.192	37.988	37.431	0.000	0.000	1.977	1.587	3.564	-0.060	0.200	0.130	20.990	1.199
