Time,hyDra.mFloIn[1],hyDra.TWat[1],hyDra.TIn,hyDra.draHeaTra[1]
0,1,52,20,16739.1
0.2,1,52,20,16739.1
0.4,1,52,20,16739.1
0.6,1,52,20,16739.1
0.8,1,52,20,16739.1
1,1,52,20,16739.1
1.2,1,52,20,16739.1
1.4,1,52,20,16739.1
1.6,1,52,20,16739.1
1.8,1,52,20,16739.1
2,1,52,20,16739.1
2.2,1,52,20,16739.1
2.4,1,52,20,16739.1
2.6,1,52,20,16739.1
2.8,1,52,20,16739.1
3,1,52,20,16739.1
3.2,1,52,20,16739.1
3.4,1,52,20,16739.1
3.6,1,52,20,16739.1
3.8,1,52,20,16739.1
4,1,52,20,16739.1
4.2,1,52,20,16739.1
4.4,1,52,20,16739.1
4.6,1,52,20,16739.1
4.8,1,52,20,16739.1
5,1,52,20,16739.1
5,1,52,20,16739.1
5,0,52,20,0
5.2,0,52,20,0
5.4,0,52,20,0
5.6,0,52,20,0
5.8,0,52,20,0
6,0,52,20,0
6.2,0,52,20,0
6.4,0,52,20,0
6.6,0,52,20,0
6.8,0,52,20,0
7,0,52,20,0
7.2,0,52,20,0
7.4,0,52,20,0
7.6,0,52,20,0
7.8,0,52,20,0
8,0,52,20,0
8.2,0,52,20,0
8.4,0,52,20,0
8.6,0,52,20,0
8.8,0,52,20,0
9,0,52,20,0
9.2,0,52,20,0
9.4,0,52,20,0
9.6,0,52,20,0
9.8,0,52,20,0
10,0,52,20,0
10,0,52,20,0
10,1,52,20,16739.1
10.2,1,52,20,16739.1
10.4,1,52,20,16739.1
10.6,1,52,20,16739.1
10.8,1,52,20,16739.1
11,1,52,20,16739.1
11.2,1,52,20,16739.1
11.4,1,52,20,16739.1
11.6,1,52,20,16739.1
11.8,1,52,20,16739.1
12,1,52,20,16739.1
12.2,1,52,20,16739.1
12.4,1,52,20,16739.1
12.6,1,52,20,16739.1
12.8,1,52,20,16739.1
13,1,52,20,16739.1
13.2,1,52,20,16739.1
13.4,1,52,20,16739.1
13.6,1,52,20,16739.1
13.8,1,52,20,16739.1
14,1,52,20,16739.1
14.2,1,52,20,16739.1
14.4,1,52,20,16739.1
14.6,1,52,20,16739.1
14.8,1,52,20,16739.1
15,1,52,20,16739.1
15,1,52,20,16739.1
15,0,52,20,0
15.2,0,52,20,0
15.4,0,52,20,0
15.6,0,52,20,0
15.8,0,52,20,0
16,0,52,20,0
16.2,0,52,20,0
16.4,0,52,20,0
16.6,0,52,20,0
16.8,0,52,20,0
17,0,52,20,0
17.2,0,52,20,0
17.4,0,52,20,0
17.6,0,52,20,0
17.8,0,52,20,0
18,0,52,20,0
18.2,0,52,20,0
18.4,0,52,20,0
18.6,0,52,20,0
18.8,0,52,20,0
19,0,52,20,0
19.2,0,52,20,0
19.4,0,52,20,0
19.6,0,52,20,0
19.8,0,52,20,0
20,0,52,20,0
20,0,52,20,0
20,1,52,20,16739.1
20.2,1,52,20,16739.1
20.4,1,52,20,16739.1
20.6,1,52,20,16739.1
20.8,1,52,20,16739.1
21,1,52,20,16739.1
21.2,1,52,20,16739.1
21.4,1,52,20,16739.1
21.6,1,52,20,16739.1
21.8,1,52,20,16739.1
22,1,52,20,16739.1
22.2,1,52,20,16739.1
22.4,1,52,20,16739.1
22.6,1,52,20,16739.1
22.8,1,52,20,16739.1
23,1,52,20,16739.1
23.2,1,52,20,16739.1
23.4,1,52,20,16739.1
23.6,1,52,20,16739.1
23.8,1,52,20,16739.1
24,1,52,20,16739.1
24.2,1,52,20,16739.1
24.4,1,52,20,16739.1
24.6,1,52,20,16739.1
24.8,1,52,20,16739.1
25,1,52,20,16739.1
25,1,52,20,16739.1
25,0,52,20,0
25.2,0,52,20,0
25.4,0,52,20,0
25.6,0,52,20,0
25.8,0,52,20,0
26,0,52,20,0
26.2,0,52,20,0
26.4,0,52,20,0
26.6,0,52,20,0
26.8,0,52,20,0
27,0,52,20,0
27.2,0,52,20,0
27.4,0,52,20,0
27.6,0,52,20,0
27.8,0,52,20,0
28,0,52,20,0
28.2,0,52,20,0
28.4,0,52,20,0
28.6,0,52,20,0
28.8,0,52,20,0
29,0,52,20,0
29.2,0,52,20,0
29.4,0,52,20,0
29.6,0,52,20,0
29.8,0,52,20,0
30,0,52,20,0
30,0,52,20,0
30,1,52,20,16739.1
30.2,1,52,20,16739.1
30.4,1,52,20,16739.1
30.6,1,52,20,16739.1
30.8,1,52,20,16739.1
31,1,52,20,16739.1
31.2,1,52,20,16739.1
31.4,1,52,20,16739.1
31.6,1,52,20,16739.1
31.8,1,52,20,16739.1
32,1,52,20,16739.1
32.2,1,52,20,16739.1
32.4,1,52,20,16739.1
32.6,1,52,20,16739.1
32.8,1,52,20,16739.1
33,1,52,20,16739.1
33.2,1,52,20,16739.1
33.4,1,52,20,16739.1
33.6,1,52,20,16739.1
33.8,1,52,20,16739.1
