Time,realToInteger.u,realToInteger.y,pump.TStatSig,pump.RecircFlow,pump.CircFlow,pump.QElePum,pump.QPum
0,0.5,1,1,0.12,0.12,50,50
0.12,0.575113,1,1,0.12,0.12,50,50
0.24,0.648521,1,1,0.12,0.12,50,50
0.36,0.718558,1,1,0.12,0.12,50,50
0.48,0.783634,1,1,0.12,0.12,50,50
0.6,0.842274,1,1,0.12,0.12,50,50
0.72,0.893144,1,1,0.12,0.12,50,50
0.84,0.935092,1,1,0.12,0.12,50,50
0.96,0.967164,1,1,0.12,0.12,50,50
1.08,0.988634,1,1,0.12,0.12,50,50
1.2,0.999013,1,1,0.12,0.12,50,50
1.32,0.998067,1,1,0.12,0.12,50,50
1.44,0.985816,1,1,0.12,0.12,50,50
1.56,0.962539,1,1,0.12,0.12,50,50
1.68,0.928763,1,1,0.12,0.12,50,50
1.8,0.885257,1,1,0.12,0.12,50,50
1.92,0.833006,1,1,0.12,0.12,50,50
2.04,0.773197,1,1,0.12,0.12,50,50
2.16,0.707188,1,1,0.12,0.12,50,50
2.28,0.636476,1,1,0.12,0.12,50,50
2.4,0.562667,1,1,0.12,0.12,50,50
2.5,0.5,1,1,0.12,0.12,50,50
2.5,0.5,0,0,0.12,0,50,0
2.52,0.487435,0,0,0.12,0,50,0
2.64,0.412488,0,0,0.12,0,50,0
2.76,0.339528,0,0,0.12,0,50,0
2.88,0.27021,0,0,0.12,0,50,0
3,0.206107,0,0,0.12,0,50,0
3.12,0.148675,0,0,0.12,0,50,0
3.24,0.0992165,0,0,0.12,0,50,0
3.36,0.0588544,0,0,0.12,0,50,0
3.48,0.0285047,0,0,0.12,0,50,0
3.6,0.00885637,0,0,0.12,0,50,0
3.72,0.000355264,0,0,0.12,0,50,0
3.84,0.00319434,0,0,0.12,0,50,0
3.96,0.0173092,0,0,0.12,0,50,0
4.08,0.0423794,0,0,0.12,0,50,0
4.2,0.077836,0,0,0.12,0,50,0
4.32,0.122874,0,0,0.12,0,50,0
4.44,0.176472,0,0,0.12,0,50,0
4.56,0.237413,0,0,0.12,0,50,0
4.68,0.304313,0,0,0.12,0,50,0
4.8,0.375655,0,0,0.12,0,50,0
4.92,0.449819,0,0,0.12,0,50,0
5,0.5,0,0,0.12,0,50,0
5,0.5,1,1,0.12,0.12,50,50
5.04,0.525122,1,1,0.12,0.12,50,50
5.16,0.599855,1,1,0.12,0.12,50,50
5.28,0.672321,1,1,0.12,0.12,50,50
5.4,0.740877,1,1,0.12,0.12,50,50
5.52,0.803965,1,1,0.12,0.12,50,50
5.64,0.860155,1,1,0.12,0.12,50,50
5.76,0.90817,1,1,0.12,0.12,50,50
5.88,0.946921,1,1,0.12,0.12,50,50
6,0.975528,1,1,0.12,0.12,50,50
6.12,0.993343,1,1,0.12,0.12,50,50
6.24,0.999961,1,1,0.12,0.12,50,50
6.36,0.995231,1,1,0.12,0.12,50,50
6.48,0.979261,1,1,0.12,0.12,50,50
6.6,0.952413,1,1,0.12,0.12,50,50
6.72,0.915298,1,1,0.12,0.12,50,50
6.84,0.868757,1,1,0.12,0.12,50,50
6.96,0.813846,1,1,0.12,0.12,50,50
7.08,0.751812,1,1,0.12,0.12,50,50
7.2,0.684062,1,1,0.12,0.12,50,50
7.32,0.612135,1,1,0.12,0.12,50,50
7.44,0.537663,1,1,0.12,0.12,50,50
7.5,0.5,1,1,0.12,0.12,50,50
7.5,0.5,0,0,0.12,0,50,0
7.56,0.462337,0,0,0.12,0,50,0
7.68,0.387865,0,0,0.12,0,50,0
7.8,0.315938,0,0,0.12,0,50,0
7.92,0.248188,0,0,0.12,0,50,0
8.04,0.186154,0,0,0.12,0,50,0
8.16,0.131243,0,0,0.12,0,50,0
8.28,0.0847021,0,0,0.12,0,50,0
8.4,0.0475865,0,0,0.12,0,50,0
8.52,0.0207391,0,0,0.12,0,50,0
8.64,0.00476929,0,0,0.12,0,50,0
8.76,3.94779e-005,0,0,0.12,0,50,0
8.88,0.00665703,0,0,0.12,0,50,0
9,0.0244717,0,0,0.12,0,50,0
9.12,0.0530793,0,0,0.12,0,50,0
9.24,0.0918304,0,0,0.12,0,50,0
9.36,0.139845,0,0,0.12,0,50,0
9.48,0.196035,0,0,0.12,0,50,0
9.6,0.259123,0,0,0.12,0,50,0
9.72,0.327679,0,0,0.12,0,50,0
9.84,0.400145,0,0,0.12,0,50,0
9.96,0.474878,0,0,0.12,0,50,0
10,0.5,0,0,0.12,0,50,0
10,0.5,1,1,0.12,0.12,50,50
10.08,0.550181,1,1,0.12,0.12,50,50
10.2,0.624345,1,1,0.12,0.12,50,50
10.32,0.695687,1,1,0.12,0.12,50,50
10.44,0.762587,1,1,0.12,0.12,50,50
10.56,0.823528,1,1,0.12,0.12,50,50
10.68,0.877126,1,1,0.12,0.12,50,50
10.8,0.922164,1,1,0.12,0.12,50,50
10.92,0.957621,1,1,0.12,0.12,50,50
11.04,0.982691,1,1,0.12,0.12,50,50
11.16,0.996806,1,1,0.12,0.12,50,50
11.28,0.999645,1,1,0.12,0.12,50,50
11.4,0.991144,1,1,0.12,0.12,50,50
11.52,0.971495,1,1,0.12,0.12,50,50
11.64,0.941146,1,1,0.12,0.12,50,50
11.76,0.900783,1,1,0.12,0.12,50,50
11.88,0.851325,1,1,0.12,0.12,50,50
