Time,cirHeaTra1.TRec,cirHeaTra1.TWat[1],cirHeaTra1.mFloCir,cirHeaTra1.cirHeaTra[1],cirHeaTra1.c_p,cirHeaTra1.nSeg
0,30,52,0.12,-1380.98,4184.78,8
2,30.377,52,0.12,-1357.31,4184.78,8
4,30.7539,52,0.12,-1333.65,4184.78,8
6,31.1307,52,0.12,-1310,4184.78,8
8,31.5073,52,0.12,-1286.36,4184.78,8
10,31.8837,52,0.12,-1262.73,4184.78,8
12,32.2598,52,0.12,-1239.13,4184.78,8
14,32.6355,52,0.12,-1215.54,4184.78,8
16,33.0109,52,0.12,-1191.98,4184.78,8
18,33.3857,52,0.12,-1168.45,4184.78,8
20,33.76,52,0.12,-1144.96,4184.78,8
22,34.1337,52,0.12,-1121.5,4184.78,8
24,34.5068,52,0.12,-1098.08,4184.78,8
26,34.8791,52,0.12,-1074.71,4184.78,8
28,35.2507,52,0.12,-1051.38,4184.78,8
30,35.6214,52,0.12,-1028.11,4184.78,8
32,35.9913,52,0.12,-1004.89,4184.78,8
34,36.3602,52,0.12,-981.736,4184.78,8
36,36.7281,52,0.12,-958.642,4184.78,8
38,37.095,52,0.12,-935.614,4184.78,8
40,37.4607,52,0.12,-912.657,4184.78,8
42,37.8252,52,0.12,-889.773,4184.78,8
44,38.1886,52,0.12,-866.968,4184.78,8
46,38.5506,52,0.12,-844.243,4184.78,8
48,38.9112,52,0.12,-821.603,4184.78,8
50,39.2705,52,0.12,-799.052,4184.78,8
52,39.6283,52,0.12,-776.592,4184.78,8
54,39.9846,52,0.12,-754.228,4184.78,8
56,40.3393,52,0.12,-731.963,4184.78,8
58,40.6924,52,0.12,-709.8,4184.78,8
60,41.0437,52,0.12,-687.743,4184.78,8
62,41.3934,52,0.12,-665.796,4184.78,8
64,41.7412,52,0.12,-643.962,4184.78,8
66,42.0872,52,0.12,-622.244,4184.78,8
68,42.4313,52,0.12,-600.646,4184.78,8
70,42.7734,52,0.12,-579.171,4184.78,8
72,43.1135,52,0.12,-557.822,4184.78,8
74,43.4515,52,0.12,-536.604,4184.78,8
76,43.7874,52,0.12,-515.519,4184.78,8
78,44.1211,52,0.12,-494.571,4184.78,8
80,44.4526,52,0.12,-473.762,4184.78,8
82,44.7818,52,0.12,-453.097,4184.78,8
84,45.1087,52,0.12,-432.579,4184.78,8
86,45.4332,52,0.12,-412.21,4184.78,8
88,45.7552,52,0.12,-391.994,4184.78,8
90,46.0748,52,0.12,-371.935,4184.78,8
92,46.3918,52,0.12,-352.034,4184.78,8
94,46.7063,52,0.12,-332.297,4184.78,8
96,47.0181,52,0.12,-312.724,4184.78,8
98,47.3272,52,0.12,-293.321,4184.78,8
100,47.6336,52,0.12,-274.089,4184.78,8
102,47.9371,52,0.12,-255.032,4184.78,8
104,48.2379,52,0.12,-236.153,4184.78,8
106,48.5358,52,0.12,-217.454,4184.78,8
108,48.8307,52,0.12,-198.94,4184.78,8
110,49.1227,52,0.12,-180.612,4184.78,8
112,49.4117,52,0.12,-162.473,4184.78,8
114,49.6976,52,0.12,-144.527,4184.78,8
116,49.9804,52,0.12,-126.776,4184.78,8
118,50.26,52,0.12,-109.224,4184.78,8
120,50.5364,52,0.12,-91.8718,4184.78,8
122,50.8096,52,0.12,-74.7235,4184.78,8
124,51.0795,52,0.12,-57.7814,4184.78,8
126,51.3461,52,0.12,-41.0483,4184.78,8
128,51.6093,52,0.12,-24.5267,4184.78,8
130,51.8691,52,0.12,-8.2194,4184.78,8
132,52.1254,52,0.12,7.87116,4184.78,8
134,52.3782,52,0.12,23.7424,4184.78,8
136,52.6275,52,0.12,39.3918,4184.78,8
138,52.8733,52,0.12,54.817,4184.78,8
140,53.1154,52,0.12,70.0154,4184.78,8
142,53.3539,52,0.12,84.9847,4184.78,8
144,53.5887,52,0.12,99.7225,4184.78,8
146,53.8197,52,0.12,114.226,4184.78,8
