Time,fluHeaTra1.fluHeaTra[1],fluHeaTra1.fluHeaTra[2],fluHeaTra1.fluHeaTra[3],fluHeaTra1.fluHeaTra[4],fluHeaTra1.fluHeaTra[5],fluHeaTra1.fluHeaTra[6],fluHeaTra1.fluHeaTra[7],fluHeaTra1.fluHeaTra[8],fluHeaTra1.QDotFlu,fluHeaTra1.EffTan,fluHeaTra1.nSeg
0,312.5,312.5,312.5,312.5,312.5,312.5,312.5,312.5,10000,0.25,8
0.2,314.463,314.463,314.463,314.463,314.463,314.463,314.463,314.463,10062.8,0.25,8
0.4,316.427,316.427,316.427,316.427,316.427,316.427,316.427,316.427,10125.7,0.25,8
0.6,318.389,318.389,318.389,318.389,318.389,318.389,318.389,318.389,10188.5,0.25,8
0.8,320.351,320.351,320.351,320.351,320.351,320.351,320.351,320.351,10251.2,0.25,8
1,322.311,322.311,322.311,322.311,322.311,322.311,322.311,322.311,10314,0.25,8
1.2,324.27,324.27,324.27,324.27,324.27,324.27,324.27,324.27,10376.6,0.25,8
1.4,326.227,326.227,326.227,326.227,326.227,326.227,326.227,326.227,10439.3,0.25,8
1.6,328.182,328.182,328.182,328.182,328.182,328.182,328.182,328.182,10501.8,0.25,8
1.8,330.134,330.134,330.134,330.134,330.134,330.134,330.134,330.134,10564.3,0.25,8
2,332.083,332.083,332.083,332.083,332.083,332.083,332.083,332.083,10626.7,0.25,8
2.2,334.03,334.03,334.03,334.03,334.03,334.03,334.03,334.03,10689,0.25,8
2.4,335.973,335.973,335.973,335.973,335.973,335.973,335.973,335.973,10751.1,0.25,8
2.6,337.912,337.912,337.912,337.912,337.912,337.912,337.912,337.912,10813.2,0.25,8
2.8,339.847,339.847,339.847,339.847,339.847,339.847,339.847,339.847,10875.1,0.25,8
3,341.778,341.778,341.778,341.778,341.778,341.778,341.778,341.778,10936.9,0.25,8
3.2,343.705,343.705,343.705,343.705,343.705,343.705,343.705,343.705,10998.5,0.25,8
3.4,345.626,345.626,345.626,345.626,345.626,345.626,345.626,345.626,11060,0.25,8
3.6,347.542,347.542,347.542,347.542,347.542,347.542,347.542,347.542,11121.4,0.25,8
3.8,349.453,349.453,349.453,349.453,349.453,349.453,349.453,349.453,11182.5,0.25,8
4,351.358,351.358,351.358,351.358,351.358,351.358,351.358,351.358,11243.4,0.25,8
4.2,353.257,353.257,353.257,353.257,353.257,353.257,353.257,353.257,11304.2,0.25,8
4.4,355.149,355.149,355.149,355.149,355.149,355.149,355.149,355.149,11364.8,0.25,8
4.6,357.034,357.034,357.034,357.034,357.034,357.034,357.034,357.034,11425.1,0.25,8
4.8,358.913,358.913,358.913,358.913,358.913,358.913,358.913,358.913,11485.2,0.25,8
5,360.784,360.784,360.784,360.784,360.784,360.784,360.784,360.784,11545.1,0.25,8
5.2,362.647,362.647,362.647,362.647,362.647,362.647,362.647,362.647,11604.7,0.25,8
5.4,364.503,364.503,364.503,364.503,364.503,364.503,364.503,364.503,11664.1,0.25,8
5.6,366.35,366.35,366.35,366.35,366.35,366.35,366.35,366.35,11723.2,0.25,8
5.8,368.189,368.189,368.189,368.189,368.189,368.189,368.189,368.189,11782.1,0.25,8
6,370.019,370.019,370.019,370.019,370.019,370.019,370.019,370.019,11840.6,0.25,8
6.2,371.84,371.84,371.84,371.84,371.84,371.84,371.84,371.84,11898.9,0.25,8
6.4,373.652,373.652,373.652,373.652,373.652,373.652,373.652,373.652,11956.9,0.25,8
6.6,375.454,375.454,375.454,375.454,375.454,375.454,375.454,375.454,12014.5,0.25,8
6.8,377.246,377.246,377.246,377.246,377.246,377.246,377.246,377.246,12071.9,0.25,8
7,379.028,379.028,379.028,379.028,379.028,379.028,379.028,379.028,12128.9,0.25,8
7.2,380.799,380.799,380.799,380.799,380.799,380.799,380.799,380.799,12185.6,0.25,8
7.4,382.56,382.56,382.56,382.56,382.56,382.56,382.56,382.56,12241.9,0.25,8
7.6,384.309,384.309,384.309,384.309,384.309,384.309,384.309,384.309,12297.9,0.25,8
7.8,386.047,386.047,386.047,386.047,386.047,386.047,386.047,386.047,12353.5,0.25,8
8,387.774,387.774,387.774,387.774,387.774,387.774,387.774,387.774,12408.8,0.25,8
8.2,389.489,389.489,389.489,389.489,389.489,389.489,389.489,389.489,12463.6,0.25,8
8.4,391.191,391.191,391.191,391.191,391.191,391.191,391.191,391.191,12518.1,0.25,8
8.6,392.881,392.881,392.881,392.881,392.881,392.881,392.881,392.881,12572.2,0.25,8
8.8,394.559,394.559,394.559,394.559,394.559,394.559,394.559,394.559,12625.9,0.25,8
9,396.223,396.223,396.223,396.223,396.223,396.223,396.223,396.223,12679.1,0.25,8
9.2,397.874,397.874,397.874,397.874,397.874,397.874,397.874,397.874,12732,0.25,8
9.4,399.512,399.512,399.512,399.512,399.512,399.512,399.512,399.512,12784.4,0.25,8
9.6,401.136,401.136,401.136,401.136,401.136,401.136,401.136,401.136,12836.3,0.25,8
9.8,402.746,402.746,402.746,402.746,402.746,402.746,402.746,402.746,12887.9,0.25,8
10,404.341,404.341,404.341,404.341,404.341,404.341,404.341,404.341,12938.9,0.25,8
10.2,405.923,405.923,405.923,405.923,405.923,405.923,405.923,405.923,12989.5,0.25,8
10.4,407.489,407.489,407.489,407.489,407.489,407.489,407.489,407.489,13039.7,0.25,8
10.6,409.041,409.041,409.041,409.041,409.041,409.041,409.041,409.041,13089.3,0.25,8
10.8,410.577,410.577,410.577,410.577,410.577,410.577,410.577,410.577,13138.5,0.25,8
11,412.098,412.098,412.098,412.098,412.098,412.098,412.098,412.098,13187.1,0.25,8
11.2,413.603,413.603,413.603,413.603,413.603,413.603,413.603,413.603,13235.3,0.25,8
11.4,415.092,415.092,415.092,415.092,415.092,415.092,415.092,415.092,13282.9,0.25,8
11.6,416.564,416.564,416.564,416.564,416.564,416.564,416.564,416.564,13330.1,0.25,8
11.8,418.021,418.021,418.021,418.021,418.021,418.021,418.021,418.021,13376.7,0.25,8
12,419.46,419.46,419.46,419.46,419.46,419.46,419.46,419.46,13422.7,0.25,8
12.2,420.883,420.883,420.883,420.883,420.883,420.883,420.883,420.883,13468.3,0.25,8
12.4,422.289,422.289,422.289,422.289,422.289,422.289,422.289,422.289,13513.3,0.25,8
12.6,423.677,423.677,423.677,423.677,423.677,423.677,423.677,423.677,13557.7,0.25,8
12.8,425.048,425.048,425.048,425.048,425.048,425.048,425.048,425.048,13601.5,0.25,8
