Time[1].y;tan.vol[1].T;tan.vol[2].T;tan.vol[3].T;tan.vol[4].T;tan.vol[5].T;tan.vol[6].T;tan.vol[7].T;tan.vol[8].T;tan.vol[9].T;tan.vol[10].T;tan.vol[11].T;tan.vol[12].T;tan.vol[13].T;tan.vol[14].T;tan.vol[15].T;tan.vol[16].T;tan.vol[17].T;tan.vol[18].T;tan.vol[19].T;tan.vol[20].T;onOffController.y
0;334.059;333.799;333.31;332.81;332.36;332.06;331.06;330.855;330.531;330.461;330.361;330.341;330.341;330.341;330.341;330.291;330.261;330.221;330.191;330.181;0
2.4;334.06;333.799;333.31;332.81;332.36;332.06;331.061;330.856;330.531;330.461;330.372;330.359;330.363;330.352;330.336;330.288;330.257;330.22;330.212;330.204;0
4.8;334.06;333.799;333.309;332.81;332.36;332.06;331.061;330.856;330.532;330.462;330.392;330.373;330.37;330.35;330.332;330.285;330.255;330.234;330.232;330.224;0
7.2;334.061;333.799;333.309;332.81;332.36;332.061;331.062;330.857;330.532;330.462;330.405;330.386;330.371;330.349;330.327;330.283;330.261;330.253;330.25;330.244;0
9.6;334.061;333.799;333.309;332.81;332.36;332.061;331.062;330.857;330.533;330.463;330.413;330.39;330.371;330.347;330.323;330.283;330.275;330.271;330.268;330.261;0
12;334.062;333.798;333.309;332.81;332.361;332.061;331.063;330.858;330.533;330.464;330.422;330.392;330.372;330.345;330.32;330.289;330.289;330.287;330.284;330.278;0
14.4;334.062;333.798;333.309;332.81;332.361;332.061;331.063;330.858;330.534;330.464;330.424;330.393;330.372;330.343;330.319;330.302;330.304;330.302;330.298;330.293;0
16.8;334.063;333.798;333.309;332.81;332.361;332.061;331.064;330.859;330.535;330.465;330.425;330.394;330.373;330.341;330.322;330.317;330.318;330.316;330.312;330.308;0
19.2;334.055;333.783;333.294;332.796;332.351;332.032;331.058;330.85;330.533;330.464;330.425;330.394;330.369;330.163;330.154;330.151;330.152;330.15;330.146;330.142;0
21.6;334.037;333.75;333.261;332.767;332.329;331.969;331.044;330.83;330.529;330.462;330.423;330.392;330.343;329.787;329.78;329.777;329.778;329.775;329.772;329.768;0
24;334.017;333.716;333.227;332.737;332.303;331.908;331.03;330.81;330.525;330.46;330.421;330.388;330.294;329.406;329.4;329.398;329.398;329.395;329.392;329.389;0
26.4;333.996;333.682;333.193;332.707;332.275;331.849;331.015;330.792;330.521;330.458;330.419;330.379;330.224;329.03;329.025;329.023;329.022;329.02;329.016;329.014;0
28.8;333.975;333.649;333.16;332.678;332.245;331.794;331;330.774;330.518;330.456;330.417;330.366;330.135;328.659;328.654;328.653;328.652;328.649;328.646;328.644;0
31.2;333.952;333.615;333.127;332.648;332.214;331.741;330.985;330.757;330.514;330.454;330.413;330.347;330.027;328.292;328.288;328.287;328.286;328.283;328.28;328.279;0
33.6;333.929;333.581;333.094;332.618;332.181;331.69;330.97;330.742;330.51;330.451;330.408;330.321;329.902;327.931;327.927;327.926;327.925;327.922;327.919;327.918;0
