Time[1].y;tan.vol[1].T;tan.vol[2].T;tan.vol[3].T;tan.vol[4].T;tan.vol[5].T;tan.vol[6].T;tan.vol[7].T;tan.vol[8].T;tan.vol[9].T;tan.vol[10].T;tan.vol[11].T;tan.vol[12].T;tan.vol[13].T;tan.vol[14].T;tan.vol[15].T;tan.vol[16].T;tan.vol[17].T;tan.vol[18].T;tan.vol[19].T;tan.vol[20].T;onOffController.y
0;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;333.105;0
2.4;333.078;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;333.082;0
4.8;333.054;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;333.061;0
7.2;333.031;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;333.042;0
9.6;333.01;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;333.024;0
12;332.99;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;333.008;0
14.4;332.972;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;332.993;0
16.8;332.955;332.979;332.979;332.979;332.979;332.979;332.979;332.979;332.979;332.979;332.979;332.979;332.979;332.978;332.97;332.97;332.97;332.97;332.97;332.97;0
19.2;332.933;332.959;332.959;332.959;332.959;332.959;332.959;332.959;332.959;332.959;332.959;332.96;332.968;332.952;332.591;332.591;332.591;332.591;332.591;332.591;0
21.6;332.912;332.94;332.94;332.94;332.94;332.94;332.94;332.94;332.94;332.94;332.94;332.941;332.957;332.9;332.096;332.096;332.096;332.096;332.096;332.096;0
24;332.893;332.922;332.922;332.922;332.922;332.922;332.922;332.922;332.922;332.922;332.923;332.925;332.942;332.819;331.579;331.579;331.579;331.579;331.579;331.579;0
26.4;332.877;332.907;332.907;332.907;332.907;332.907;332.907;332.907;332.907;332.907;332.907;332.91;332.921;332.708;331.064;331.064;331.064;331.064;331.064;331.064;0
28.8;332.862;332.893;332.893;332.893;332.893;332.893;332.893;332.893;332.893;332.893;332.894;332.898;332.893;332.572;330.556;330.556;330.556;330.556;330.556;330.556;0
