Time	T_F,Entrance	T_F,Exit	T_Nodes	sum(dT_Nodes)
0	178.4046667	124.7704444	1321.509722	6.350277778
0.558	178.4046667	124.7704444	1321.509722	6.350277778
5.604	174.0778333	123.8677222	1321.540889	6.319111111
10.62	167.4475	121.1906667	1321.540833	5.945611111
15.63	160.9727778	118.9493889	1321.385222	5.727666667
20.646	158.0155556	117.7354444	1320.575889	6.412555556
25.656	153.1283889	115.6498333	1319.548611	7.066277778
30.672	148.8637778	113.7198333	1316.996056	9.494166667
35.682	146.6848333	112.5681111	1316.435778	9.93
40.686	143.2607222	110.7626111	1314.007722	12.10894444
45.702	139.93	108.7703889	1312.046667	13.572
50.712	138.6848333	108.179	1310.894889	14.72377778
55.716	135.4163889	106.2801667	1309.245111	16.12466667
60.726	132.6458889	104.8171111	1306.599167	18.5215
65.772	131.2451111	104.0078333	1306.163389	18.95727778
70.812	129.3462778	102.7937778	1305.416278	19.45527778
75.828	127.0116667	101.1751111	1304.638111	20.109
80.916	125.7042778	100.6147778	1302.863833	21.88327778
85.92	123.9922222	99.15172222	1301.774333	22.59922222
90.936	121.4085556	98	1300.311333	23.93777778
95.946	120.7237222	97.19066667	1299.408667	24.716
100.482	118.5447778	95.97666667	1297.260722	26.61483333
105.528	170.3423889	96.31905556	1295.424167	28.32694444
110.574	281.9377778	101.2685	1294.646	28.856
115.602	430.2023889	111.3540556	1294.085611	29.29194444
120.612	544.1011667	121.8132778	1291.813278	31.43961111
125.616	570.2801667	125.0817222	1290.599222	32.52922222
130.638	627.3073889	133.393	1290.225667	32.90277778
135.642	658.9027222	139.3696667	1287.0195	35.9845
140.652	672.5058333	142.607	1285.587667	37.29188889
145.668	687.1050556	147.4941667	1284.435778	38.31911111
150.672	694.9805556	152.6926111	1281.852111	40.77811111
155.682	698.965	154.2801667	1282.07	40.56022222
159.63	706	158.5758889	1280.046667	42.45911111
160.83	706	158.5758889	1280.046667	42.45911111
165.846	711.821	161.7821111	1279.0505	43.20616667
170.85	713.3462778	163.5252778	1277.213944	45.04272222
175.542	716.0855556	166.2334444	1276.311278	45.94538889
180.618	718.0466667	168.8482222	1275.533111	46.72355556
185.676	718.607	170.3423889	1274.879389	47.62638889
190.692	720.6615	172.7081667	1273.696444	48.93377778
195.708	721.6264444	175.0116667	1272.046667	50.58355556
200.718	722.8404444	175.7587778	1270.988333	51.64188889
205.722	724.3035	177.7821111	1270.241278	52.38894444
