Time, Gas, T_N10
0, 27.44791666, 51.02
2.87, 16.46874999, 51.03
5.87, 16.46874999, 51.06
8.995, 16.46874999, 51.1
11.87, 27.44791666, 51.14
14.87, 16.46874999, 51.23
18, 16.46874999, 51.24
21, 16.46874999, 51.27
23.87, 16.46874999, 51.28
26.87, 27.44791666, 51.31
30, 16.46874999, 51.29
32.87, 16.46874999, 51.36
35.87, 27.44791666, 51.42
39, 16.46874999, 51.47
41.87, 16.46874999, 51.54
44.87, 27.44791666, 51.55
48, 16.46874999, 51.59
50.87, 27.44791666, 51.65
53.87, 16.46874999, 51.68
57, 16.46874999, 51.73
60, 27.44791666, 51.79
62.87, 16.46874999, 51.82
65.995, 27.44791666, 51.84
68.995, 16.46874999, 51.86
71.87, 27.44791666, 51.85
74.87, 16.46874999, 51.93
78, 16.46874999, 51.89
80.87, 27.44791666, 52.06
83.87, 27.44791666, 52.01
87, 16.46874999, 52.03
89.87, 16.46874999, 52.02
92.87, 16.46874999, 52.03
96, 27.44791666, 52.09
99, 16.46874999, 52.06
101.87, 16.46874999, 52.14
105, 16.46874999, 52.18
108, 16.46874999, 52.17
110.87, 27.44791666, 52.2
113.87, 16.46874999, 52.25
117, 16.46874999, 52.25
119.87, 16.46874999, 52.24
122.87, 16.46874999, 52.28
125.995, 27.44791666, 52.3
128.87, 27.44791666, 52.33
131.87, 27.44791666, 52.34
135, 27.44791666, 52.36
138, 27.44791666, 52.38
140.87, 16.46874999, 52.49
143.87, 16.46874999, 52.49
147, 27.44791666, 52.52
149.87, 27.44791666, 52.54
152.87, 16.46874999, 52.56
156, 16.46874999, 52.61
159, 27.44791666, 52.63
161.87, 16.46874999, 52.63
164.87, 16.46874999, 52.61
168, 16.46874999, 52.63
170.87, 16.46874999, 52.64
173.87, 27.44791666, 52.67
176.87, 16.46874999, 52.69
180, 16.46874999, 52.69
182.87, 16.46874999, 52.69
185.87, 16.46874999, 52.77
188.995, 27.44791666, 52.74
191.87, 16.46874999, 52.71
194.87, 16.46874999, 52.8
197.87, 16.46874999, 52.77
201, 16.46874999, 52.78
203.87, 27.44791666, 52.8
206.87, 16.46874999, 52.77
210, 27.44791666, 52.76
213, 27.44791666, 52.74
215.87, 16.46874999, 52.72
218.87, 27.44791666, 52.76
222, 16.46874999, 52.82
224.87, 27.44791666, 52.81
227.87, 27.44791666, 52.85
230.87, 27.44791666, 52.85
234, 16.46874999, 52.84
236.87, 16.46874999, 52.86
239.87, 16.46874999, 52.82
242.87, 16.46874999, 52.85
245.87, 16.46874999, 52.89
248.995, 16.46874999, 52.88
251.87, 27.44791666, 52.86
254.87, 27.44791666, 52.89
258, 27.44791666, 52.85
261, 16.46874999, 52.89
263.87, 16.46874999, 52.89
266.87, 16.46874999, 52.95
270, 16.46874999, 52.94
272.87, 27.44791666, 52.95
275.87, 27.44791666, 52.94
278.87, 27.44791666, 52.85
282, 27.44791666, 52.9
284.87, 16.46874999, 52.94
287.87, 16.46874999, 52.97
291, 16.46874999, 52.94
294, 16.46874999, 52.96
296.87, 27.44791666, 52.9
299.87, 16.46874999, 52.85
303, 27.44791666, 52.84
305.87, 16.46874999, 52.8
308.87, 16.46874999, 52.79
312, 16.46874999, 52.84
315, 16.46874999, 52.88
317.87, 27.44791666, 52.85
320.87, 27.44791666, 52.88
324, 16.46874999, 52.85
326.87, 16.46874999, 52.91
329.87, 16.46874999, 53.01
332.87, 16.46874999, 52.97
336, 16.46874999, 52.95
338.87, 27.44791666, 53.01
341.87, 16.46874999, 53
345, 16.46874999, 52.98
347.87, 27.44791666, 52.96
350.87, 27.44791666, 53.05
354, 16.46874999, 53.02
357, 16.46874999, 53.04
359.87, 16.46874999, 53.02
362.87, 27.44791666, 53.04
365.995, 16.46874999, 53.05
368.995, 16.46874999, 53.06
371.87, 27.44791666, 53.06
374.87, 27.44791666, 53.13
377.87, 27.44791666, 53.1
380.87, 16.46874999, 53.08
384, 27.44791666, 53.13
386.87, 16.46874999, 53.13
389.87, 16.46874999, 53.15
393, 27.44791666, 53.15
396, 27.44791666, 53.19
398.87, 16.46874999, 53.16
401.87, 16.46874999, 53.17
404.87, 16.46874999, 53.21
408, 16.46874999, 53.21
410.87, 16.46874999, 53.16
413.87, 27.44791666, 53.19
416.87, 27.44791666, 53.19
420, 16.46874999, 53.2
422.87, 16.46874999, 53.2
425.87, 16.46874999, 53.19
428.87, 27.44791666, 53.19
432, 16.46874999, 53.2
435, 16.46874999, 53.17
437.87, 27.44791666, 53.1
440.87, 16.46874999, 53.2
444, 16.46874999, 53.17
446.87, 16.46874999, 53.13
449.87, 16.46874999, 53.19
452.87, 16.46874999, 53.17
456, 27.44791666, 53.21
458.87, 16.46874999, 53.2
461.87, 16.46874999, 53.12
465, 27.44791666, 53.15
468, 16.46874999, 53.13
470.87, 16.46874999, 53.15
473.87, 16.46874999, 53.16
477, 27.44791666, 53.14
479.87, 27.44791666, 53.17
482.87, 27.44791666, 53.21
485.87, 27.44791666, 53.21
