Time.y;nonCondensing.T_Out;nonCondensing.T_Inlet;nonCondensing.Qdot_Environment;nonCondensing.Qdot_in;nonCondensing.Qdot_Delivered;nonCondensing.mdot_water;nonCondensing.T_amb;nonCondensing.ControlConstant
0;20;11.97;-74.7452;0;0;0;25.475;0
2.979;20.0123;11.99;-75.4572;0;0;0;25.5395;0
5.95799;20.0247;11.9893;-75.0635;0;0;0;25.523;0
8.93699;20.037;11.9802;-74.5108;0;0;0;25.4948;0
11.916;20.0492;11.9907;-74.2062;0;0;0;25.4847;0
14.895;20.0613;12.0502;-73.7042;0;0;0;25.4601;0
17.874;20.0734;12.0808;-73.737;0;0;0;25.4746;0
20.853;20.0855;12.1016;-73.4366;0;0;0;25.4647;0
23.832;20.0976;12.1492;-73.1423;0;0;0;25.4552;0
26.811;20.1096;12.1696;-73.1156;0;2.29943;6.91174e-005;25.4646;0
29.79;20.1215;12.1501;-72.8102;0;113.578;0.00340054;25.4451;0
32.769;20.1335;12.1596;-73.0272;0;113.146;0.00338656;25.4546;0
35.748;20.1454;12.1504;-73.2523;0;113.036;0.00337434;25.4646;0
38.727;20.1572;12.1302;-73.0773;0;113.173;0.0033649;25.4452;0
41.706;20.169;12.13;-72.7789;0;113.22;0.00336129;25.4167;0
44.685;20.1808;12.13;-72.8461;0;113.384;0.00336123;25.415;0
47.664;20.1926;12.1671;-73.8215;0;112.906;0.00335761;25.48;0
50.6429;20.2044;12.1507;-73.0595;0;113.064;0.00335057;25.4176;0
53.6219;20.2161;12.1596;-73.5042;0;112.716;0.00333907;25.4437;0
56.6009;20.2278;12.1691;-73.8573;0;112.242;0.00332413;25.4632;0
59.5799;20.2395;12.1982;-73.5793;0;111.333;0.00330432;25.4368;0
62.5589;20.2512;12.2187;-74.0191;0;110.395;0.0032801;25.4631;0
65.5379;20.2628;12.3269;-74.0014;0;108.224;0.0032547;25.4561;0
68.5169;20.2744;12.34;-73.5827;0;107.234;0.00322553;25.4198;0
71.4959;20.286;12.3313;-73.8286;0;106.368;0.00319133;25.4324;0
74.4749;20.2975;12.33;-73.6991;0;105.24;0.00315241;25.4177;0
77.4539;20.309;12.3472;-74.2001;0;103.972;0.00311666;25.4493;0
80.4329;20.3204;12.3411;-73.8589;0;103.106;0.00308392;25.4194;0
83.4119;20.3318;12.34;-73.8643;0;102.357;0.00305673;25.415;0
86.3909;20.3432;12.34;-73.4681;0;101.769;0.00303486;25.3813;0
89.3699;20.3544;12.34;-73.4458;0;101.277;0.00301593;25.375;0
92.3489;20.3658;12.34;-73.9771;0;100.912;0.00300084;25.4094;0
95.3279;20.3771;12.3318;-74.5632;0;100.799;0.00299017;25.4479;0
98.3069;20.3884;12.3638;-74.372;0;100.263;0.00298195;25.4296;0
101.286;20.3997;12.37;-74.7134;0;100.19;0.0029779;25.4504;0
104.265;20.411;12.3539;-74.6155;0;100.527;0.00297776;25.4389;0
107.244;20.4223;12.3994;-74.6754;0;100.09;0.00297745;25.4391;0
110.223;20.4336;12.4337;-74.3662;0;99.7607;0.00297621;25.4123;0
113.202;20.4448;12.471;-74.9552;0;99.4006;0.00297514;25.4514;0
116.181;20.456;12.5121;-74.9763;0;98.9683;0.00297335;25.449;0
119.16;20.4672;12.4879;-74.9765;0;99.3349;0.00297113;25.445;0
122.139;20.4784;12.5278;-75.1934;0;98.8842;0.00296834;25.4569;0
125.118;20.4895;12.5242;-75.2887;0;98.9785;0.00296568;25.46;0
128.097;20.5006;12.52;-75.3421;0;99.0994;0.0029636;25.46;0
131.076;20.5117;12.52;-75.1924;0;99.0889;0.00295917;25.4451;0
134.055;20.5228;12.5345;-75.1753;0;98.7981;0.00295176;25.44;0
137.034;20.5338;12.5175;-75.2282;0;98.7842;0.00294102;25.44;0
140.013;20.5448;12.5175;-75.4854;0;98.4484;0.00292702;25.4551;0
142.992;20.5559;12.52;-75.9593;0;97.9424;0.00290886;25.4862;0
145.971;20.567;12.5496;-76.3805;0;96.9958;0.00288741;25.5135;0
148.95;20.578;12.5307;-76.7652;0;96.53;0.00286282;25.5383;0
151.929;20.5892;12.513;-76.9948;0;95.9634;0.00283589;25.552;0
154.908;20.6003;12.5029;-76.9325;0;95.1121;0.00280337;25.5444;0
157.887;20.6113;12.557;-76.9102;0;93.3647;0.00276655;25.54;0
160.866;20.6224;12.6364;-76.8483;0;91.3912;0.00273126;25.5329;0
163.845;20.6334;12.646;-77.0785;0;90.3455;0.00269954;25.5475;0
166.824;20.6444;12.6533;-77.0755;0;89.4722;0.00267219;25.5451;0
169.803;20.6553;12.66;-76.8589;0;88.7314;0.00264867;25.5272;0
172.782;20.6662;12.6534;-77.1036;0;88.2501;0.00262853;25.5432;0
175.761;20.6771;12.6564;-76.9822;0;87.8117;0.00261292;25.5325;0
178.74;20.688;12.6795;-77.0127;0;87.2542;0.00260028;25.533;0
181.719;20.6988;12.6834;-77.1315;0;87.0145;0.00259091;25.54;0
184.698;20.7096;12.6924;-77.1111;0;86.8718;0.00258608;25.5369;0
187.677;20.7205;12.6937;-77.0643;0;86.9369;0.00258495;25.5319;0
190.656;20.7313;12.69;-77.3928;0;87.0997;0.00258511;25.5544;0
193.635;20.742;12.7134;-77.3086;0;86.9621;0.00258508;25.5466;0
196.614;20.7528;12.7069;-77.301;0;87.1501;0.0025851;25.5444;0
199.593;20.7635;12.69;-77.4162;0;148.969;0.00440371;25.5464;0
202.572;20.7742;12.69;-77.5847;0;317.166;0.0093634;25.5344;0
205.551;20.7849;12.7123;-78.1995;0;590.734;0.0174648;25.5189;0
208.53;20.7954;12.7465;-79.4785;0;968.191;0.0287083;25.499;0
209.954;20.8005;12.7602;-80.4131;0;1173.56;0.0348356;25.4896;0
209.954;20.8005;12.7602;-80.4131;0;1173.56;0.0348356;25.4896;0
211.491;20.8058;12.7654;-81.7315;0;1448.65;0.043;25.4819;0
211.491;20.8058;12.7654;-81.7315;0;1448.65;0.043;25.4819;0
211.509;20.8059;12.7654;-81.7485;0;1451.82;0.043094;25.4819;0
214.488;20.816;12.77;-85.6884;0;2043.7;0.0606214;25.4991;0
217.467;20.8244;12.8176;-90.9961;0;2727.16;0.0812905;25.5121;0
220.446;20.8241;13.4811;-97.2648;0;3233.68;0.105102;25.4893;0
223.425;20.7857;13.7874;-104.796;0;3872.26;0.132055;25.4904;0
226.404;20.6146;13.1235;-114.542;0;5089.52;0.16215;25.4923;0
229.383;20.1049;12.3543;-127.146;0;6241.46;0.192195;25.4975;0
